"Ethnicity","Ethnicity","FE learners","Population (2016 estimate)"
"Asian","Asian","8.6","8.0"
"Black","Black","6.6","3.6"
"Mixed","Mixed","3.0","2.6"
"White","White","77.7","84.8"
"Other","Other","2.3","1.1"
