"school_type","Ethnicity","%","Sessions"
"Primary","All","4.0","56,595,915"
"Primary","Asian","4.3","6,365,738"
"Primary","Bangladeshi","4.6","1,074,089"
"Primary","Indian","3.5","1,439,723"
"Primary","Pakistani","4.9","2,926,528"
"Primary","Asian other","3.7","925,398"
"Primary","Black","3.0","2,378,238"
"Primary","Black African","2.6","1,396,893"
"Primary","Black Caribbean","4.2","623,459"
"Primary","Black other","3.4","357,886"
"Primary","Chinese","2.4","147,872"
"Primary","Mixed","4.3","3,572,133"
"Primary","Mixed White/Asian","4.0","774,324"
"Primary","Mixed White/Black African","3.8","444,525"
"Primary","Mixed White/Black Caribbean","5.0","1,088,141"
"Primary","Mixed other","4.2","1,265,143"
"Primary","White","4.1","42,481,555"
"Primary","White British","3.9","37,249,507"
"Primary","White Irish","4.8","178,048"
"Primary","Gypsy/Roma","11.8","621,994"
"Primary","Irish traveller","18.0","237,014"
"Primary","White other","4.5","4,194,992"
"Primary","Other","4.2","1,078,553"
"Primary","Unknown","4.7","571,826"
"Secondary","All","5.4","53,682,923"
"Secondary","Asian","4.5","4,701,768"
"Secondary","Bangladeshi","4.6","803,924"
"Secondary","Indian","3.6","993,120"
"Secondary","Pakistani","5.4","2,285,008"
"Secondary","Asian other","3.7","619,716"
"Secondary","Black","3.8","2,089,621"
"Secondary","Black African","3.2","1,112,719"
"Secondary","Black Caribbean","5.2","694,681"
"Secondary","Black other","4.1","282,221"
"Secondary","Chinese","2.2","79,373"
"Secondary","Mixed","5.7","2,847,718"
"Secondary","Mixed White/Asian","5.1","584,396"
"Secondary","Mixed White/Black African","5.3","325,943"
"Secondary","Mixed White/Black Caribbean","6.9","985,808"
"Secondary","Mixed other","5.3","951,571"
"Secondary","White","5.6","42,237,076"
"Secondary","White British","5.5","38,862,423"
"Secondary","White Irish","6.1","191,811"
"Secondary","Gypsy/Roma","14.9","390,294"
"Secondary","Irish traveller","17.7","63,764"
"Secondary","White other","5.4","2,728,784"
"Secondary","Other","4.7","769,815"
"Secondary","Unknown","6.1","957,552"
"Special","All","9.7","3,196,449"
"Special","Asian","10.8","339,885"
"Special","Bangladeshi","11.1","60,256"
"Special","Indian","8.8","51,284"
"Special","Pakistani","11.8","176,705"
"Special","Asian other","9.6","51,640"
"Special","Black","7.7","176,956"
"Special","Black African","6.8","96,877"
"Special","Black Caribbean","9.7","49,215"
"Special","Black other","8.5","30,864"
"Special","Chinese","5.8","6,189"
"Special","Mixed","10.0","187,468"
"Special","Mixed White/Asian","9.6","31,555"
"Special","Mixed White/Black African","8.7","21,714"
"Special","Mixed White/Black Caribbean","10.7","61,953"
"Special","Mixed other","10.2","72,246"
"Special","White","9.7","2,376,481"
"Special","White British","9.6","2,207,467"
"Special","White Irish","14.6","13,100"
"Special","Gypsy/Roma","20.5","24,369"
"Special","Irish traveller","27.4","11,043"
"Special","White other","10.0","120,502"
"Special","Other","9.8","50,426"
"Special","Unknown","12.5","59,044"
