"","Asian","Black","Chinese","Mixed","White","Other"
"","%","%","%","%","%","%"
"Barking and Dagenham","8.7","4.2","4.2","13.5","15.7","9.9"
"Barnet","7.5","8.6","1.7","10.9","9.0","8.9"
"Barnsley","10.4","2.7","0.0","10.2","13.5","17.8"
"Bath and North East Somerset","11.0","18.8","6.8","14.3","10.3","13.5"
"Bedford","12.2","6.7","7.4","14.6","10.2","14.3"
"Bexley","5.7","2.5","1.4","10.3","12.2","4.2"
"Birmingham","11.1","8.6","3.7","15.7","14.7","10.1"
"Blackburn with Darwen","8.7","4.8","!","13.1","13.6","16.2"
"Blackpool","6.1","16.1","0.0","15.2","12.2","13.5"
"Bolton","7.4","4.2","5.3","14.2","12.7","16.0"
"Bournemouth","8.3","5.7","5.8","12.6","11.7","9.4"
"Bracknell Forest","6.0","3.8","!","8.6","8.4","9.1"
"Bradford","10.5","6.2","!","18.2","14.5","14.0"
"Brent","7.3","10.0","3.9","10.9","11.1","10.2"
"Brighton and Hove","9.9","7.6","1.9","12.4","11.6","10.6"
"Bristol, City of","14.2","10.7","5.6","15.7","13.4","17.2"
"Bromley","6.7","5.9","4.0","10.1","9.2","10.5"
"Buckinghamshire","12.5","8.0","3.8","11.8","9.7","10.5"
"Bury","14.0","5.3","3.4","13.7","12.1","14.1"
"Calderdale","9.3","6.0","6.8","12.8","9.3","11.7"
"Cambridgeshire","8.2","7.3","3.3","9.3","8.9","9.5"
"Camden","13.9","8.7","5.6","14.2","13.3","10.8"
"Central Bedfordshire","9.7","7.8","!","11.4","10.5","11.7"
"Cheshire East","9.8","10.9","!","11.1","9.2","11.9"
"Cheshire West and Chester","9.3","6.7","!","11.0","10.6","3.1"
"City of London","!","0.0","!","!","!","0.0"
"Cornwall","12.8","!","10.4","14.0","11.2","18.6"
"Coventry","7.3","4.6","2.2","14.6","13.4","13.8"
"Croydon","8.8","8.8","2.4","12.9","12.4","9.4"
"Cumbria","8.1","9.9","4.3","10.8","10.4","9.7"
"Darlington","10.2","!","14.6","11.9","13.7","11.4"
"Derby","9.7","5.8","3.1","18.3","14.4","11.4"
"Derbyshire","11.2","8.1","2.4","12.1","10.0","14.1"
"Devon","11.2","4.3","5.2","10.8","9.6","8.5"
"Doncaster","11.1","6.0","3.3","14.6","14.9","15.7"
"Dorset","10.6","12.0","3.5","10.0","11.1","11.2"
"Dudley","10.7","8.1","!","15.7","11.9","10.9"
"Durham","9.6","4.4","3.1","9.7","10.9","10.4"
"Ealing","7.6","8.7","!","11.4","10.6","8.0"
"East Riding of Yorkshire","9.8","14.3","!","13.6","10.3","9.1"
"East Sussex","8.7","9.1","1.9","14.2","12.9","14.4"
"Enfield","9.3","9.2","1.8","12.6","13.0","9.9"
"Essex","7.2","5.3","2.8","10.6","10.2","6.5"
"Gateshead","10.8","3.2","2.8","8.0","10.4","8.4"
"Gloucestershire","8.6","7.8","4.1","14.4","10.8","13.3"
"Greenwich","7.2","5.0","2.6","11.8","14.5","8.2"
"Hackney","9.1","7.1","2.1","11.8","10.1","7.4"
"Halton","5.7","0.0","0.0","10.4","12.2","!"
"Hammersmith and Fulham","10.9","9.3","!","12.1","11.3","10.6"
"Hampshire","6.5","4.5","2.6","9.7","9.5","8.5"
"Haringey","10.6","8.6","1.0","12.3","10.3","9.5"
"Harrow","6.2","10.6","!","11.8","10.8","12.4"
"Hartlepool","12.0","!","!","4.9","12.5","10.8"
"Havering","9.2","5.4","3.6","13.2","12.3","12.1"
"Herefordshire","11.8","12.1","!","7.8","9.7","6.7"
"Hertfordshire","8.8","5.3","3.3","10.9","9.8","9.0"
"Hillingdon","7.3","8.6","8.6","9.4","15.2","6.9"
"Hounslow","6.9","7.0","3.0","12.0","12.6","7.2"
"Isle of Wight","7.5","16.7","15.8","12.8","11.7","7.7"
"Isles of Scilly","!","!","!","0.0","6.8","!"
"Islington","10.7","8.4","!","14.0","13.7","8.3"
"Kensington and Chelsea","11.9","7.6","10.0","11.6","11.5","9.0"
"Kent","6.3","5.0","4.1","10.1","12.1","9.0"
"Kingston upon Hull, City of","9.9","5.4","0.0","9.8","13.8","8.6"
"Kingston upon Thames","6.9","7.3","1.2","9.2","8.3","6.3"
"Kirklees","11.0","8.8","1.9","14.5","9.4","13.0"
"Knowsley","4.8","5.8","0.0","15.4","16.6","16.7"
"Lambeth","11.4","9.7","4.2","13.0","10.0","10.4"
"Lancashire","10.4","7.4","2.6","11.1","9.3","14.5"
"Leeds","10.2","4.3","3.6","13.5","11.9","9.6"
"Leicester","8.7","7.4","!","16.9","16.9","12.2"
"Leicestershire","5.9","5.4","3.5","10.0","9.7","8.5"
"Lewisham","9.7","8.8","3.3","12.8","12.9","8.3"
"Lincolnshire","6.7","3.5","1.8","12.2","11.3","11.7"
"Liverpool","6.8","7.6","2.3","14.8","15.0","9.7"
"Luton","11.1","7.3","0.0","13.3","14.4","12.2"
"Manchester","9.4","5.4","2.8","13.9","14.2","9.0"
"Medway","5.8","3.9","2.9","12.0","12.2","6.6"
"Merton","7.3","6.5","1.9","10.4","10.0","6.5"
"Middlesbrough","9.5","5.1","!","15.4","16.7","11.8"
"Milton Keynes","9.5","4.7","1.6","11.4","11.7","9.4"
"Newcastle upon Tyne","10.0","4.2","4.8","9.1","14.0","8.6"
"Newham","9.0","6.8","5.2","12.5","16.5","8.9"
"Norfolk","9.5","6.8","2.8","12.2","11.5","9.1"
"North East Lincolnshire","16.7","5.5","!","13.9","11.2","8.9"
"North Lincolnshire","9.0","9.9","6.0","6.8","9.9","10.6"
"North Somerset","8.7","12.7","7.0","11.9","11.2","5.9"
"North Tyneside","13.9","2.2","3.3","8.7","10.7","13.2"
"North Yorkshire","10.8","5.5","9.0","9.8","10.1","6.9"
"Northamptonshire","7.7","5.9","2.2","12.1","10.7","9.1"
"Northumberland","7.0","!","!","12.9","10.3","19.4"
"Nottingham","9.0","6.0","3.1","13.7","14.7","12.5"
"Nottinghamshire","7.4","5.6","3.5","10.3","9.8","11.1"
