"Title","Persistent absence by ethnicity and local authority"
"Location","England"
"Time period","2016/17"
"Data source","Statistics: pupil absence"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","20/06/2018"

"Ethnicity","Geography","%"
"Other","Northamptonshire","9.1"
"Other","Northumberland","19.4"
"Other","Nottingham","12.5"
"Other","Nottinghamshire","11.1"
"Other","Oldham","28.4"
"Other","Oxfordshire","8.5"
"Other","Peterborough","8.1"
"Other","Plymouth","11.8"
"Other","Poole","10.4"
"Other","Portsmouth","7.0"
"Other","Reading","8.7"
"Other","Redbridge","8.6"
"Other","Redcar and Cleveland","18.4"
"Other","Richmond upon Thames","9.2"
"Other","Rochdale","9.8"
"Other","Rotherham","8.8"
"Other","Rutland","!"
"Other","Salford","12.4"
"Other","Sandwell","8.9"
"Other","Sefton","11.0"
"Other","Sheffield","11.2"
"Other","Shropshire","7.4"
"Other","Slough","6.6"
"Other","Solihull","10.0"
"Other","Somerset","15.5"
"Other","South Gloucestershire","14.1"
"Other","South Tyneside","10.0"
"Other","Southampton","6.6"
"Other","Southend-on-Sea","10.7"
"Other","Southwark","10.4"
"Other","St. Helens","12.0"
"Other","Staffordshire","10.0"
"Other","Stockport","13.5"
"Other","Stockton-on-Tees","14.3"
"Other","Stoke-on-Trent","18.9"
"Other","Suffolk","10.0"
"Other","Sunderland","7.7"
"Other","Surrey","6.0"
"Other","Sutton","5.9"
"Other","Swindon","11.1"
"Other","Tameside","6.0"
"Other","Telford and Wrekin","13.9"
"Other","Thurrock","6.7"
"Other","Torbay","9.7"
"Other","Tower Hamlets","5.6"
"Other","Trafford","8.1"
"Other","Wakefield","14.8"
"Other","Walsall","11.1"
"Other","Waltham Forest","9.6"
"Other","Wandsworth","8.2"
"Other","Warrington","10.1"
"Other","Warwickshire","6.5"
"Other","West Berkshire","9.0"
"Other","West Sussex","8.3"
"Other","Westminster","10.1"
"Other","Wigan","11.8"
"Other","Wiltshire","9.7"
"Other","Windsor and Maidenhead","7.5"
"Other","Wirral","13.5"
"Other","Wokingham","12.6"
"Other","Wolverhampton","15.0"
"Other","Worcestershire","9.9"
"Other","York","13.0"
