"Ethnicity","Geography name","%"
"Other","Plymouth","5.1"
"Other","Poole","3.9"
"Other","Portsmouth","3.7"
"Other","Reading","4.3"
"Other","Redbridge","4.4"
"Other","Redcar and Cleveland","5.2"
"Other","Richmond upon Thames","4.2"
"Other","Rochdale","4.7"
"Other","Rotherham","4.2"
"Other","Rutland","3.1"
"Other","Salford","4.5"
"Other","Sandwell","4.2"
"Other","Sefton","4.6"
"Other","Sheffield","4.7"
"Other","Shropshire","4.5"
"Other","Slough","4.1"
"Other","Solihull","4.3"
"Other","Somerset","5.2"
"Other","South Gloucestershire","5.1"
"Other","South Tyneside","4.2"
"Other","Southampton","3.7"
"Other","Southend-on-Sea","4.3"
"Other","Southwark","4.4"
"Other","St. Helens","4.7"
"Other","Staffordshire","4.6"
"Other","Stockport","5.6"
"Other","Stockton-on-Tees","5.4"
"Other","Stoke-on-Trent","5.8"
"Other","Suffolk","4.2"
"Other","Sunderland","3.8"
"Other","Surrey","3.8"
"Other","Sutton","4.0"
"Other","Swindon","4.6"
"Other","Tameside","3.6"
"Other","Telford and Wrekin","4.2"
"Other","Thurrock","3.4"
"Other","Torbay","4.4"
"Other","Tower Hamlets","3.5"
"Other","Trafford","4.1"
"Other","Wakefield","4.9"
"Other","Walsall","4.8"
"Other","Waltham Forest","4.4"
"Other","Wandsworth","4.3"
"Other","Warrington","4.9"
"Other","Warwickshire","3.6"
"Other","West Berkshire","4.5"
"Other","West Sussex","4.6"
"Other","Westminster","4.8"
"Other","Wigan","4.7"
"Other","Wiltshire","4.2"
"Other","Windsor and Maidenhead","4.1"
"Other","Wirral","4.2"
"Other","Wokingham","4.9"
"Other","Wolverhampton","5.7"
"Other","Worcestershire","4.4"
"Other","York","4.8"
