"Ethnicity","Geography name","%"
"Black","Gateshead","2.1"
"Black","Gloucestershire","3.7"
"Black","Greenwich","2.8"
"Black","Hackney","3.4"
"Black","Halton","2.4"
"Black","Hammersmith and Fulham","4.3"
"Black","Hampshire","2.7"
"Black","Haringey","4.0"
"Black","Harrow","4.4"
"Black","Hartlepool","2.7"
"Black","Havering","2.9"
"Black","Herefordshire, County of","4.6"
"Black","Hertfordshire","3.0"
"Black","Hillingdon","4.2"
"Black","Hounslow","3.8"
"Black","Isle of Wight","4.9"
"Black","Isles of Scilly","!"
"Black","Islington","3.9"
"Black","Kensington and Chelsea","3.9"
"Black","Kent","2.5"
"Black","Kingston upon Hull, City of","2.6"
"Black","Kingston upon Thames","4.0"
"Black","Kirklees","3.6"
"Black","Knowsley","3.0"
"Black","Lambeth","4.1"
"Black","Lancashire","3.3"
"Black","Leeds","2.6"
"Black","Leicester","3.6"
"Black","Leicestershire","2.9"
"Black","Lewisham","3.8"
"Black","Lincolnshire","2.8"
"Black","Liverpool","3.4"
"Black","Luton","3.4"
"Black","Manchester","2.7"
"Black","Medway","2.5"
"Black","Merton","3.2"
"Black","Middlesbrough","2.7"
"Black","Milton Keynes","2.8"
"Black","Newcastle upon Tyne","2.5"
"Black","Newham","3.3"
"Black","Norfolk","3.1"
"Black","North East Lincolnshire","3.6"
"Black","North Lincolnshire","4.1"
"Black","North Somerset","4.6"
"Black","North Tyneside","2.5"
"Black","North Yorkshire","3.3"
"Black","Northamptonshire","3.0"
"Black","Northumberland","2.7"
"Black","Nottingham","3.1"
"Black","Nottinghamshire","3.0"
"Black","Oldham","2.3"
"Black","Oxfordshire","3.6"
"Black","Peterborough","2.7"
"Black","Plymouth","2.6"
"Black","Poole","3.2"
"Black","Portsmouth","2.5"
"Black","Reading","3.0"
"Black","Redbridge","3.8"
"Black","Redcar and Cleveland","2.7"
"Black","Richmond upon Thames","4.1"
"Black","Rochdale","2.3"
"Black","Rotherham","2.7"
"Black","Rutland","2.5"
"Black","Salford","2.2"
"Black","Sandwell","3.5"
"Black","Sefton","3.3"
"Black","Sheffield","3.6"
"Black","Shropshire","4.1"
"Black","Slough","3.1"
"Black","Solihull","3.5"
"Black","Somerset","3.4"
"Black","South Gloucestershire","3.6"
"Black","South Tyneside","2.6"
"Black","Southampton","2.7"
"Black","Southend-on-Sea","2.3"
"Black","Southwark","3.1"
"Black","St. Helens","3.5"
"Black","Staffordshire","4.1"
"Black","Stockport","3.5"
"Black","Stockton-on-Tees","2.3"
"Black","Stoke-on-Trent","2.7"
"Black","Suffolk","3.5"
"Black","Sunderland","2.7"
