"Title","People claiming Income Support by ethnicity over time"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Nomis"
"Data source link","http://www.nomisweb.co.uk"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","May 2017"

"Date","Ethnicity","%"
"2011","White","3.2"
"2011","Other","3.6"
"2012","White","2.6"
"2012","Other","2.9"
"2013","White","2.0"
"2013","Other","2.1"
"2014","White","1.7"
"2014","Other","1.7"
"2015","White","1.5"
"2015","Other","1.5"
