"Standard Ethnicity","Age","%","Number"
"All","Age 0 to 4","6.2","3,496,750"
"All","Age 5 to 9","5.6","3,135,711"
"All","Age 10 to 14","5.8","3,258,677"
"All","Age 15 to 17","3.7","2,079,229"
"All","Age 18 to 24","9.4","5,267,401"
"All","Age 25 to 29","6.8","3,836,609"
"All","Age 30 to 34","6.6","3,683,915"
"All","Age 35 to 39","6.7","3,732,161"
"All","Age 40 to 44","7.3","4,099,089"
"All","Age 45 to 49","7.3","4,100,526"
"All","Age 50 to 54","6.4","3,601,694"
"All","Age 55 to 59","5.7","3,183,915"
"All","Age 60 to 64","6.0","3,377,162"
"All","Age 65 to 69","4.8","2,674,161"
"All","Age 70 to 74","3.9","2,178,672"
"All","Age 75 to 79","3.2","1,777,547"
"All","Age 80 to 84","2.4","1,338,005"
"All","Age 85 and over","2.2","1,254,688"
"Asian","Age 0 to 4","8.7","365,207"
"Asian","Age 5 to 9","7.7","323,251"
"Asian","Age 10 to 14","6.9","290,690"
"Asian","Age 15 to 17","4.2","176,135"
"Asian","Age 18 to 24","12.9","543,338"
"Asian","Age 25 to 29","10.7","450,383"
"Asian","Age 30 to 34","10.7","449,113"
"Asian","Age 35 to 39","9.0","378,009"
"Asian","Age 40 to 44","7.1","297,699"
"Asian","Age 45 to 49","5.2","220,332"
"Asian","Age 50 to 54","4.7","197,126"
"Asian","Age 55 to 59","4.0","166,627"
"Asian","Age 60 to 64","2.8","116,348"
"Asian","Age 65 to 69","1.8","77,482"
"Asian","Age 70 to 74","1.7","71,627"
"Asian","Age 75 to 79","1.2","49,198"
"Asian","Age 80 to 84","0.6","26,010"
"Asian","Age 85 and over","0.4","14,956"
"Black","Age 0 to 4","9.5","176,849"
"Black","Age 5 to 9","8.4","156,365"
"Black","Age 10 to 14","7.8","145,649"
"Black","Age 15 to 17","4.7","88,220"
"Black","Age 18 to 24","10.6","197,321"
"Black","Age 25 to 29","7.9","146,941"
"Black","Age 30 to 34","8.5","158,230"
"Black","Age 35 to 39","8.2","153,117"
"Black","Age 40 to 44","9.1","170,155"
"Black","Age 45 to 49","8.5","159,252"
"Black","Age 50 to 54","5.6","104,540"
"Black","Age 55 to 59","3.1","57,825"
"Black","Age 60 to 64","1.9","34,876"
"Black","Age 65 to 69","1.7","32,032"
"Black","Age 70 to 74","1.9","35,590"
"Black","Age 75 to 79","1.4","26,074"
"Black","Age 80 to 84","0.8","14,236"
"Black","Age 85 and over","0.4","7,618"
"Mixed","Age 0 to 4","18.0","219,796"
"Mixed","Age 5 to 9","13.3","162,596"
"Mixed","Age 10 to 14","11.5","141,390"
"Mixed","Age 15 to 17","6.5","79,614"
"Mixed","Age 18 to 24","13.6","167,126"
"Mixed","Age 25 to 29","8.1","98,861"
"Mixed","Age 30 to 34","6.5","79,486"
"Mixed","Age 35 to 39","5.2","63,413"
"Mixed","Age 40 to 44","4.8","59,251"
"Mixed","Age 45 to 49","4.1","50,245"
"Mixed","Age 50 to 54","2.6","32,391"
"Mixed","Age 55 to 59","1.6","19,970"
"Mixed","Age 60 to 64","1.2","14,886"
"Mixed","Age 65 to 69","0.9","11,574"
"Mixed","Age 70 to 74","0.7","8,782"
"Mixed","Age 75 to 79","0.6","6,816"
"Mixed","Age 80 to 84","0.4","4,578"
"Mixed","Age 85 and over","0.3","3,625"
"White","Age 0 to 4","5.6","2,684,720"
"White","Age 5 to 9","5.1","2,451,735"
"White","Age 10 to 14","5.5","2,645,470"
"White","Age 15 to 17","3.6","1,713,250"
"White","Age 18 to 24","8.9","4,291,624"
"White","Age 25 to 29","6.4","3,076,127"
"White","Age 30 to 34","6.1","2,931,879"
"White","Age 35 to 39","6.4","3,083,346"
"White","Age 40 to 44","7.3","3,529,082"
"White","Age 45 to 49","7.5","3,637,280"
"White","Age 50 to 54","6.7","3,241,624"
"White","Age 55 to 59","6.1","2,919,608"
"White","Age 60 to 64","6.6","3,196,687"
"White","Age 65 to 69","5.3","2,543,742"
"White","Age 70 to 74","4.3","2,055,873"
"White","Age 75 to 79","3.5","1,690,772"
"White","Age 80 to 84","2.7","1,290,136"
"White","Age 85 and over","2.5","1,226,440"
"Other","Age 0 to 4","8.9","50,178"
"Other","Age 5 to 9","7.4","41,764"
"Other","Age 10 to 14","6.3","35,478"
"Other","Age 15 to 17","3.9","22,010"
"Other","Age 18 to 24","12.1","67,992"
"Other","Age 25 to 29","11.4","64,297"
"Other","Age 30 to 34","11.6","65,207"
"Other","Age 35 to 39","9.6","54,276"
"Other","Age 40 to 44","7.6","42,902"
"Other","Age 45 to 49","5.9","33,417"
"Other","Age 50 to 54","4.6","26,013"
"Other","Age 55 to 59","3.5","19,885"
"Other","Age 60 to 64","2.5","14,365"
"Other","Age 65 to 69","1.7","9,331"
"Other","Age 70 to 74","1.2","6,800"
"Other","Age 75 to 79","0.8","4,687"
"Other","Age 80 to 84","0.5","3,045"
"Other","Age 85 and over","0.4","2,049"
