"Title","Armed forces personnel by ethnicity and rank"
"Location","UK"
"Time period","2017"
"Data source","UK armed forces biannual diversity statistics"
"Data source link","https://www.gov.uk/government/statistics/uk-armed-forces-biannual-diversity-statistics-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","White","Other"
"NATO code","%","%"
"All Officers","97.6","2.4"
"OF-1(D)","97.1","2.9"
"OF-2","97.6","2.4"
"OF-3","97.6","2.4"
"OF-4","97.9","2.1"
"OF-5","98.2","1.8"
"OF-6 and above","99.1","!"
"All Other Ranks","91.7","8.3"
"OR-1/OR-2","92.4","7.6"
"OR-3","85.6","14.4"
"OR-4","90.0","10.0"
"OR-6","92.6","7.4"
"OR-7","95.1","4.9"
"OR-8","97.2","2.8"
"OR-9","98.7","1.3"
