"","Apr-12","Apr-13","Apr-14","Apr-15","Apr-16","Apr-17"
"","%","%","%","%","%","%"
"All Services","2.4","2.4","2.4","2.3","2.4","2.4"
"Army","2.8","2.7","2.7","2.7","2.8","2.9"
"Royal Air Force","2.3","2.3","2.3","2.2","2.2","2.1"
"Royal Navy/Royal Marines","1.8","1.8","1.8","1.8","1.8","1.9"
