"Ethnicity","Geography","%","Pupils"
"All","All - England","42.9","524,932"
"All","County Durham","34.7","4,608"
"All","Darlington","44.0","1,066"
"All","Gateshead","40.1","1,909"
"All","Hartlepool","37.6","976"
"All","Middlesbrough","37.0","1,386"
"All","Newcastle upon Tyne","35.4","2,362"
"All","North Tyneside","44.0","1,959"
"All","Northumberland","39.3","3,145"
"All","Redcar and Cleveland","41.7","1,584"
"All","South Tyneside","35.1","1,500"
"All","Stockton-on-Tees","41.6","1,913"
"All","Sunderland","34.1","2,769"
"All","Blackburn with Darwen","41.9","1,746"
"All","Blackpool","27.1","1,190"
"All","Bolton","38.8","3,263"
"All","Bury","38.0","2,120"
"All","Cheshire East","46.9","3,582"
"All","Cheshire West and Chester","39.8","3,328"
"All","Cumbria","42.2","4,915"
"All","Halton","30.5","1,395"
"All","Knowsley","24.6","978"
"All","Lancashire","42.8","12,078"
"All","Liverpool","37.3","4,467"
"All","Manchester","34.9","4,574"
"All","Oldham","37.0","2,918"
"All","Rochdale","33.6","2,238"
"All","Salford","31.9","2,057"
"All","Sefton","37.2","3,013"
"All","St. Helens","37.8","1,693"
"All","Stockport","44.4","2,649"
"All","Tameside","39.3","2,407"
"All","Trafford","62.7","2,715"
"All","Warrington","46.0","2,277"
"All","Wigan","37.8","3,337"
"All","Wirral","44.0","3,349"
"All","Barnsley","38.8","2,110"
"All","Bradford","35.1","5,786"
"All","Calderdale","45.1","2,475"
"All","Doncaster","38.6","2,996"
"All","East Riding of Yorkshire","44.9","3,370"
"All","Kingston upon Hull, City of","30.0","2,253"
"All","Kirklees","41.4","4,383"
"All","Leeds","39.3","7,427"
"All","North East Lincolnshire","35.7","1,592"
"All","North Lincolnshire","40.7","1,749"
"All","North Yorkshire","50.4","5,904"
"All","Rotherham","37.1","3,028"
"All","Sheffield","39.1","5,090"
"All","Wakefield","42.1","3,402"
"All","York","48.1","1,608"
"All","Derby","37.4","2,741"
"All","Derbyshire","42.3","7,249"
"All","Leicester","35.6","3,310"
"All","Leicestershire","45.0","6,867"
"All","Lincolnshire","42.4","7,549"
"All","Northamptonshire","40.2","7,287"
"All","Nottingham","31.0","2,505"
"All","Nottinghamshire","45.5","7,511"
"All","Rutland","57.7","473"
"All","Birmingham","40.2","12,127"
"All","Coventry","36.2","3,374"
"All","Dudley","37.1","3,484"
"All","Herefordshire, County of","44.4","1,718"
"All","Sandwell","28.7","3,564"
