"","FSM","","Non-FSM",""
"","%","Pupils","%","Pupils"
"All","21.7","69,261","45.8","458,598"
"Asian","35.5","8,824","52.3","43,963"
"Bangladeshi","41.9","2,438","50.9","6,436"
"Indian","43.4","1,016","63.3","12,952"
"Pakistani","29.2","4,302","41.0","17,021"
"Asian other","38.5","1,068","59.8","7,554"
"Black","29.2","6,076","41.0","21,846"
"Black African","34.7","3,777","46.0","13,689"
"Black Caribbean","19.6","1,574","31.3","5,523"
"Black other","21.2","725","35.1","2,634"
"Chinese","67.9","131","72.3","1,942"
"Mixed","22.9","4,297","47.7","19,186"
"Mixed White/Asian","24.2","723","58.7","4,424"
"Mixed White/Black African","27.4","541","46.6","2,173"
"Mixed White/Black Caribbean","16.5","1,598","35.4","5,440"
"Mixed other","27.5","1,435","50.6","7,149"
"White","17.4","46,985","45.2","359,357"
"White British","16.9","44,106","45.4","334,002"
"White Irish","18.6","194","59.8","1,482"
"Gypsy/Roma","!","325","!","748"
"Irish traveller","!","66","!","52"
"White other","29.1","2,294","42.6","23,073"
"Other","36.1","2,012","45.9","6,429"
"Unknown","32.4","936","41.1","5,875"
