"Title","Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity, gender and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","25 January 2018 (revised)"

"Ethnicity","Geography","All (%)","Boys (%)","Girls (%)"
"Mixed","Bexley","51.9","49.4","53.7"
"Mixed","Birmingham","39.1","35.9","42.5"
"Mixed","Blackburn with Darwen","42.6","43.3","41.7"
"Mixed","Blackpool","22.2","!","!"
"Mixed","Bolton","38.4","!","!"
"Mixed","Bournemouth","49.3","54.2","40.7"
"Mixed","Bracknell Forest","30.4","25.0","34.6"
"Mixed","Bradford","29.6","26.9","32.0"
"Mixed","Brent","45.1","!","!"
"Mixed","Brighton and Hove","45.7","48.1","43.5"
"Mixed","Bristol, City of","37.7","29.0","44.5"
"Mixed","Bromley","49.5","46.3","52.1"
"Mixed","Buckinghamshire","55.7","49.1","63.0"
"Mixed","Bury","45.1","41.7","47.8"
"Mixed","Calderdale","39.1","41.7","36.4"
"Mixed","Cambridgeshire","46.9","48.6","44.8"
"Mixed","Camden","49.2","!","!"
"Mixed","Central Bedfordshire","34.3","38.3","28.9"
"Mixed","Cheshire East","47.2","54.5","40.0"
"Mixed","Cheshire West and Chester","46.5","35.5","55.0"
"Mixed","City of London","N/A","N/A","N/A"
"Mixed","Cornwall","45.9","47.7","44.4"
"Mixed","County Durham","45.7","34.6","60.0"
"Mixed","Coventry","!","!","!"
"Mixed","Croydon","!","41.5","!"
"Mixed","Cumbria","59.7","54.8","64.5"
"Mixed","Darlington","27.3","!","!"
"Mixed","Derby","27.6","19.0","36.0"
"Mixed","Derbyshire","!","51.7","!"
"Mixed","Devon","52.1","53.3","51.0"
"Mixed","Doncaster","39.1","37.8","40.6"
"Mixed","Dorset","41.6","33.3","51.4"
"Mixed","Dudley","36.3","!","!"
"Mixed","Ealing","!","!","!"
"Mixed","East Riding of Yorkshire","54.7","52.9","55.6"
"Mixed","East Sussex","41.3","36.5","46.6"
"Mixed","Enfield","!","44.9","!"
"Mixed","Essex","48.0","48.7","47.4"
"Mixed","Gateshead","53.8","41.7","64.3"
"Mixed","Gloucestershire","42.3","42.5","42.2"
"Mixed","Greenwich","38.4","!","!"
"Mixed","Hackney","!","!","38.3"
"Mixed","Halton","32.3","!","!"
"Mixed","Hammersmith and Fulham","!","!","!"
"Mixed","Hampshire","51.5","47.3","55.9"
"Mixed","Haringey","47.9","!","!"
"Mixed","Harrow","!","44.2","!"
"Mixed","Hartlepool","!","!","!"
"Mixed","Havering","!","!","!"
"Mixed","Herefordshire, County of","!","!","!"
"Mixed","Hertfordshire","50.7","45.8","55.0"
"Mixed","Hillingdon","!","!","!"
"Mixed","Hounslow","39.7","37.6","42.2"
"Mixed","Isle of Wight","46.7","46.7","46.7"
"Mixed","Isles of Scilly","!","!","!"
"Mixed","Islington","!","!","!"
"Mixed","Kensington and Chelsea","!","!","!"
"Mixed","Kent","51.1","45.0","56.9"
"Mixed","Kingston upon Hull, City of","43.9","34.8","55.6"
"Mixed","Kingston upon Thames","58.6","66.7","53.2"
"Mixed","Kirklees","27.1","23.6","30.6"
"Mixed","Knowsley","35.3","!","!"
"Mixed","Lambeth","36.9","!","!"
"Mixed","Lancashire","45.4","44.3","46.5"
"Mixed","Leeds","37.3","39.6","34.7"
"Mixed","Leicester","!","!","!"
"Mixed","Leicestershire","43.2","41.9","44.9"
"Mixed","Lewisham","43.2","43.2","43.1"
"Mixed","Lincolnshire","49.7","38.2","63.2"
"Mixed","Liverpool","43.8","40.5","46.3"
"Mixed","Luton","27.3","30.9","23.2"
"Mixed","Manchester","32.9","25.8","39.3"
"Mixed","Medway","45.3","37.8","53.8"
"Mixed","Merton","50.8","!","!"
"Mixed","Middlesbrough","36.7","!","!"
"Mixed","Milton Keynes","37.1","34.4","40.5"
"Mixed","Newcastle upon Tyne","38.3","!","!"
"Mixed","Newham","35.7","!","!"
"Mixed","Norfolk","49.1","48.3","50.0"
"Mixed","North East Lincolnshire","33.3","!","!"
"Mixed","North Lincolnshire","65.5","57.1","73.3"
"Mixed","North Somerset","51.2","47.8","55.6"
"Mixed","North Tyneside","51.5","58.8","43.8"
"Mixed","North Yorkshire","54.5","50.0","58.8"
"Mixed","Northamptonshire","37.5","33.7","41.4"
"Mixed","Northumberland","52.5","73.3","40.0"
"Mixed","Nottingham","26.5","!","!"
"Mixed","Nottinghamshire","51.3","47.4","55.0"
"Mixed","Oldham","30.4","32.3","28.3"
"Mixed","Oxfordshire","44.1","39.9","49.0"
"Mixed","Peterborough","33.9","30.4","37.3"
"Mixed","Plymouth","40.0","25.0","55.0"
"Mixed","Poole","59.2","52.2","65.4"
"Mixed","Portsmouth","44.9","32.0","58.3"
"Mixed","Reading","46.7","38.5","54.7"
"Mixed","Redbridge","53.9","!","!"
"Mixed","Redcar and Cleveland","45.5","45.5","45.5"
"Mixed","Richmond upon Thames","!","!","59.4"
"Mixed","Rochdale","19.5","!","!"
"Mixed","Rotherham","40.0","36.4","43.8"
"Mixed","Rutland","!","!","!"
"Mixed","Salford","35.1","37.8","32.7"
"Mixed","Sandwell","!","!","!"
"Mixed","Sefton","44.2","45.0","43.5"
"Mixed","Sheffield","36.0","31.6","40.4"
"Mixed","Shropshire","!","!","!"
"Mixed","Slough","51.6","50.8","52.4"
"Mixed","Solihull","!","!","!"
"Mixed","Somerset","41.1","40.4","42.1"
"Mixed","South Gloucestershire","37.4","28.3","46.3"
"Mixed","South Tyneside","!","!","!"
"Mixed","Southampton","37.4","29.5","43.6"
"Mixed","Southend-on-Sea","55.2","53.5","56.8"
"Mixed","Southwark","44.7","41.1","47.9"
"Mixed","St. Helens","58.8","47.1","70.6"
"Mixed","Staffordshire","36.0","!","!"
"Mixed","Stockport","40.0","36.0","43.6"
"Mixed","Stockton-on-Tees","48.3","47.1","50.0"
"Mixed","Stoke-on-Trent","31.0","!","!"
"Mixed","Suffolk","40.2","38.5","42.2"
"Mixed","Sunderland","38.5","26.7","54.5"
"Mixed","Surrey","55.0","54.9","55.2"
"Mixed","Sutton","!","!","!"
"Mixed","Swindon","39.2","34.3","43.2"
"Mixed","Tameside","38.2","33.3","42.1"
"Mixed","Telford and Wrekin","!","!","!"
"Mixed","Thurrock","39.8","39.5","40.0"
"Mixed","Torbay","!","!","!"
"Mixed","Tower Hamlets","!","!","44.8"
"Mixed","Trafford","60.5","61.8","58.8"
"Mixed","Wakefield","42.6","41.4","43.8"
"Mixed","Walsall","32.1","!","!"
"Mixed","Waltham Forest","39.1","!","!"
"Mixed","Wandsworth","!","51.6","!"
"Mixed","Warrington","47.7","36.8","56.0"
"Mixed","Warwickshire","!","!","!"
"Mixed","West Berkshire","39.5","25.7","51.2"
"Mixed","West Sussex","46.4","44.5","48.7"
"Mixed","Westminster","55.1","!","!"
"Mixed","Wigan","41.8","37.0","46.4"
"Mixed","Wiltshire","45.1","41.9","49.0"
"Mixed","Windsor and Maidenhead","37.4","34.4","39.0"
"Mixed","Wirral","51.5","38.2","64.7"
"Mixed","Wokingham","51.7","51.2","52.2"
"Mixed","Wolverhampton","!","!","!"
"Mixed","Worcestershire","!","!","!"
"Mixed","York","48.6","!","!"
"White","All - England","42.1","39.1","45.2"
"White","Barking and Dagenham","35.1","31.7","39.0"
"White","Barnet","58.6","55.6","61.8"
"White","Barnsley","38.8","36.0","41.7"
"White","Bath and North East Somerset","42.4","33.2","51.7"
"White","Bedford","40.3","37.9","42.5"
"White","Bexley","43.7","41.0","46.5"
"White","Birmingham","40.7","38.2","43.1"
"White","Blackburn with Darwen","33.9","32.2","35.6"
"White","Blackpool","26.8","23.8","29.5"
"White","Bolton","36.5","32.3","40.9"
"White","Bournemouth","47.0","44.5","49.6"
"White","Bracknell Forest","43.4","40.4","46.3"
"White","Bradford","34.1","32.6","35.6"
"White","Brent","43.8","41.6","45.8"
"White","Brighton and Hove","47.5","43.5","52.1"
"White","Bristol, City of","41.8","36.1","47.7"
"White","Bromley","47.1","44.3","49.7"
"White","Buckinghamshire","56.3","50.6","62.2"
"White","Bury","38.4","34.2","42.9"
"White","Calderdale","45.7","44.8","46.6"
"White","Cambridgeshire","46.6","42.7","50.4"
"White","Camden","52.0","50.2","53.3"
"White","Central Bedfordshire","42.6","39.3","46.2"
"White","Cheshire East","46.5","44.7","48.3"
"White","Cheshire West and Chester","39.6","37.0","42.6"
"White","City of London","N/A","N/A","N/A"
"White","Cornwall","38.2","34.4","42.2"
"White","County Durham","34.6","32.3","37.0"
"White","Coventry","33.4","31.3","35.4"
"White","Croydon","41.4","38.6","43.8"
"White","Cumbria","42.2","39.5","44.8"
"White","Darlington","43.6","40.3","46.7"
"White","Derby","37.2","35.9","38.8"
"White","Derbyshire","42.0","38.8","45.3"
"White","Devon","42.5","39.6","45.6"
"White","Doncaster","37.7","35.7","39.8"
"White","Dorset","39.5","36.6","42.6"
"White","Dudley","38.0","36.5","39.8"
"White","Ealing","53.5","52.4","54.7"
"White","East Riding of Yorkshire","44.7","42.6","46.8"
"White","East Sussex","38.3","36.6","40.1"
"White","Enfield","40.8","39.1","42.9"
"White","Essex","41.4","38.1","44.8"
"White","Gateshead","39.3","36.1","42.8"
"White","Gloucestershire","46.2","43.3","49.1"
"White","Greenwich","38.8","37.2","40.7"
"White","Hackney","51.9","49.0","54.4"
"White","Halton","30.3","24.8","35.4"
"White","Hammersmith and Fulham","63.5","58.6","67.6"
"White","Hampshire","45.1","41.3","49.0"
"White","Haringey","47.5","48.4","46.4"
"White","Harrow","42.6","39.5","45.5"
"White","Hartlepool","37.7","34.8","40.8"
"White","Havering","45.4","42.6","48.4"
"White","Herefordshire, County of","43.8","42.6","45.0"
"White","Hertfordshire","50.0","47.4","52.7"
"White","Hillingdon","40.2","36.9","43.9"
"White","Hounslow","44.1","44.7","43.3"
"White","Isle of Wight","32.3","30.7","34.1"
"White","Isles of Scilly","!","37.5","!"
"White","Islington","43.2","45.2","41.0"
"White","Kensington and Chelsea","60.9","69.1","46.8"
"White","Kent","40.3","36.5","44.4"
"White","Kingston upon Hull, City of","29.7","26.8","32.9"
"White","Kingston upon Thames","56.6","55.1","58.0"
"White","Kirklees","44.7","41.0","48.7"
"White","Knowsley","24.5","25.9","22.8"
"White","Lambeth","44.8","40.8","50.5"
"White","Lancashire","42.6","38.9","46.5"
"White","Leeds","41.8","39.7","44.1"
"White","Leicester","26.5","22.9","30.5"
"White","Leicestershire","43.7","41.0","46.5"
"White","Lewisham","41.6","39.8","43.7"
"White","Lincolnshire","41.7","39.5","44.0"
"White","Liverpool","36.1","33.1","39.2"
"White","Luton","30.3","28.8","31.6"
"White","Manchester","29.7","25.0","34.4"
"White","Medway","38.4","34.9","42.0"
"White","Merton","49.7","45.5","54.2"
"White","Middlesbrough","35.5","31.8","39.7"
"White","Milton Keynes","40.6","38.1","43.2"
"White","Newcastle upon Tyne","34.5","31.3","37.8"
"White","Newham","36.0","31.7","40.1"
"White","Norfolk","39.4","35.9","42.9"
"White","North East Lincolnshire","37.0","33.6","40.5"
"White","North Lincolnshire","40.2","34.5","45.9"
"White","North Somerset","43.7","38.6","48.7"
"White","North Tyneside","43.6","39.2","48.2"
"White","North Yorkshire","50.1","46.0","54.4"
"White","Northamptonshire","39.8","37.5","42.1"
"White","Northumberland","39.0","36.8","41.3"
"White","Nottingham","29.0","26.4","31.9"
"White","Nottinghamshire","45.1","42.6","47.6"
"White","Oldham","37.5","35.5","39.6"
"White","Oxfordshire","48.5","44.9","52.1"
"White","Peterborough","34.5","31.9","37.1"
"White","Plymouth","37.8","34.8","41.0"
"White","Poole","53.2","48.1","58.4"
"White","Portsmouth","34.9","30.4","40.1"
"White","Reading","48.0","48.9","46.9"
"White","Redbridge","45.8","42.5","49.6"
"White","Redcar and Cleveland","42.0","39.7","44.2"
"White","Richmond upon Thames","59.9","54.5","65.3"
"White","Rochdale","33.3","29.7","37.1"
"White","Rotherham","37.3","35.4","39.3"
"White","Rutland","57.4","56.5","58.4"
"White","Salford","31.4","26.7","36.0"
"White","Sandwell","26.8","26.0","27.5"
"White","Sefton","37.9","35.2","40.8"
"White","Sheffield","39.8","37.4","42.4"
"White","Shropshire","42.2","39.1","45.5"
"White","Slough","43.0","32.3","53.5"
"White","Solihull","44.6","41.2","48.1"
"White","Somerset","40.0","36.5","43.5"
"White","South Gloucestershire","39.4","35.5","43.6"
"White","South Tyneside","34.9","30.5","39.6"
"White","Southampton","32.1","28.9","35.1"
"White","Southend-on-Sea","51.5","50.1","52.9"
"White","Southwark","53.2","57.5","49.4"
"White","St. Helens","38.1","36.5","39.5"
"White","Staffordshire","39.3","35.4","43.2"
"White","Stockport","43.9","41.5","46.2"
"White","Stockton-on-Tees","41.5","39.7","43.1"
"White","Stoke-on-Trent","32.6","29.1","36.0"
"White","Suffolk","40.0","38.1","42.0"
"White","Sunderland","33.6","30.6","36.8"
"White","Surrey","51.0","48.8","53.4"
"White","Sutton","52.6","51.9","53.4"
"White","Swindon","35.2","31.1","39.5"
"White","Tameside","38.6","36.0","41.1"
"White","Telford and Wrekin","40.9","37.8","44.3"
"White","Thurrock","35.3","29.0","41.6"
"White","Torbay","!","49.0","!"
"White","Tower Hamlets","37.3","39.9","34.7"
"White","Trafford","61.8","58.4","65.1"
"White","Wakefield","41.9","39.5","44.4"
"White","Walsall","30.9","29.3","32.5"
"White","Waltham Forest","43.1","39.5","46.7"
"White","Wandsworth","58.5","58.0","59.1"
"White","Warrington","45.9","42.3","49.7"
"White","Warwickshire","47.0","44.2","49.7"
"White","West Berkshire","48.7","45.8","52.0"
"White","West Sussex","45.3","42.1","48.8"
"White","Westminster","59.5","44.0","68.4"
"White","Wigan","37.7","33.7","41.9"
"White","Wiltshire","43.8","40.3","47.3"
"White","Windsor and Maidenhead","51.3","46.4","56.1"
"White","Wirral","43.0","40.8","45.4"
"White","Wokingham","55.2","51.3","59.2"
"White","Wolverhampton","31.6","24.0","39.0"
"White","Worcestershire","44.2","40.9","47.6"
"White","York","47.9","44.7","51.2"
