"Title","A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)"
"Time period","2015/16"
"Location","England"
"Source","Key stage 4 statistics"
"Department","Department for Education"
"Last update","19 January 2017 (revised)"
"
"
Measure,Time,Time Type,Ethnicity,Ethnicity Type,Geography,Geography type,ONS geography code,Gender,FSM,Value,Denominator
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,City of London,Local Authority,E09000001,All pupils,All pupils,N/A,N/A
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Hackney,Local Authority,E09000012,All pupils,All pupils,69.7,2038
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Hammersmith and Fulham,Local Authority,E09000013,All pupils,All pupils,70.1,1350
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Haringey,Local Authority,E09000014,All pupils,All pupils,63.7,2231
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Islington,Local Authority,E09000019,All pupils,All pupils,64.2,1397
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Kensington and Chelsea,Local Authority,E09000020,All pupils,All pupils,75.5,740
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Lambeth,Local Authority,E09000022,All pupils,All pupils,62.4,1887
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Lewisham,Local Authority,E09000023,All pupils,All pupils,56.2,2334
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Newham,Local Authority,E09000025,All pupils,All pupils,63.1,3489
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Southwark,Local Authority,E09000028,All pupils,All pupils,69.3,2386
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Tower Hamlets,Local Authority,E09000030,All pupils,All pupils,63.3,2570
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Wandsworth,Local Authority,E09000032,All pupils,All pupils,69.6,1660
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Westminster,Local Authority,E09000033,All pupils,All pupils,71.6,1566
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Barking and Dagenham,Local Authority,E09000002,All pupils,All pupils,60,2201
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Barnet,Local Authority,E09000003,All pupils,All pupils,73.1,3647
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Bexley,Local Authority,E09000004,All pupils,All pupils,66.5,3192
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Brent,Local Authority,E09000005,All pupils,All pupils,63.8,3035
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Bromley,Local Authority,E09000006,All pupils,All pupils,72.2,3305
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Croydon,Local Authority,E09000008,All pupils,All pupils,60.6,3844
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Ealing,Local Authority,E09000009,All pupils,All pupils,65,2781
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Enfield,Local Authority,E09000010,All pupils,All pupils,62.9,3579
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Greenwich,Local Authority,E09000011,All pupils,All pupils,60.8,2204
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Harrow,Local Authority,E09000015,All pupils,All pupils,67.7,2127
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Havering,Local Authority,E09000016,All pupils,All pupils,64,2917
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Hillingdon,Local Authority,E09000017,All pupils,All pupils,65.3,3136
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Hounslow,Local Authority,E09000018,All pupils,All pupils,65.7,2667
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Kingston upon Thames,Local Authority,E09000021,All pupils,All pupils,78.2,1515
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Merton,Local Authority,E09000024,All pupils,All pupils,69.5,1440
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Redbridge,Local Authority,E09000026,All pupils,All pupils,71.8,3363
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Richmond upon Thames,Local Authority,E09000027,All pupils,All pupils,71.3,1367
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Sutton,Local Authority,E09000029,All pupils,All pupils,76.8,2667
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Waltham Forest,Local Authority,E09000031,All pupils,All pupils,63.6,2539
