"","Owner occupiers","Social rented housing","Private rented housing"
"Ethnicity","","",""
"White British","18 years and 2 months","12 years and 2 months","4 years and 10 months"
"All other ethnic groups","13 years and 8 months","8 years and 10 months","2 years and 8 months"
