"NS-SEC group","Ethnicity",""
"Higher managerial, administrative and professional occupations","White British","13 years 6 months"
"Higher managerial, administrative and professional occupations","All other ethnic groups","7 years 9 months"
"Intermediate occupations","White British","16 years 0 months"
"Intermediate occupations","All other ethnic groups","9 years 4 months"
"Routine and manual occupations","White British","16 years 2 months"
"Routine and manual occupations","All other ethnic groups","9 years 0 months"
