"ethnicity","Region","%"
"White","All","19.2"
"White","London","18.2"
"White","Midlands & East","17.9"
"White","North","20.8"
"White","South","19.0"
"Other","All","12.0"
"Other","London","10.0"
"Other","Midlands & East","13.3"
"Other","North","13.5"
"Other","South","12.8"
