"","Court Judges","","","","Tribunal Judges","","","","Tribunal non-legal members","","","","All","","",""
"Ethnicity"," % 2016","Headcount 2016","% 2017","Headcount 2017"," % 2016","Headcount 2016","% 2017","Headcount 2017"," % 2016","Headcount 2016","% 2017","Headcount 2017"," % 2016","Headcount 2016","% 2017","Headcount 2017"
"Asian","16.9","79","16.9","78","16.5","77","16.3","75","66.6","311","66.8","308","100.0","467","100.0","461"
"Black","19.8","26","22.2","28","26.0","34","25.4","32","54.2","71","52.4","66","100.0","131","100.0","126"
"Mixed","39.0","41","39.8","39","27.6","29","28.6","28","33.3","35","31.6","31","100.0","105","100.0","98"
"White","37.9","2,506","38.9","2,438","23.9","1,580","23.7","1,485","38.2","2,531","37.4","2,344","100.0","6,617","100.0","6,267"
"Other","23.7","28","25.2","28","31.4","37","29.7","33","44.9","53","45.0","50","100.0","118","100.0","111"
"Unknown","46.4","522","53.2","523","12.2","137","13.5","133","41.4","465","33.3","328","100.0","1,124","100.0","984"
