"","Court Judges","","","","Tribunal Judges","","","","Tribunal non-legal members","","",""
"Ethnicity","% 2016","Headcount  2016","%  2017","Headcount 2017","% 2016","Headcount  2016","%  2017","Headcount 2017","% 2016","Headcount  2016","%  2017","Headcount 2017"
"All","100.0","2,680","100.0","2,611","100.0","1,757","100.0","1,653","100.0","3,001","100.0","2,799"
"Asian","2.9","79","3.0","78","4.4","77","4.5","75","10.4","311","11.0","308"
"Black","1.0","26","1.1","28","1.9","34","1.9","32","2.4","71","2.4","66"
"Mixed","1.5","41","1.5","39","1.7","29","1.7","28","1.2","35","1.1","31"
"White","93.5","2,506","93.4","2,438","89.9","1,580","89.8","1,485","84.3","2,531","83.7","2,344"
"Other","1.0","28","1.1","28","2.1","37","2.0","33","1.8","53","1.8","50"
"Unknown","N/A","522","N/A","523","N/A","137","N/A","133","N/A","465","N/A","328"
