"Title","Average fuel poverty gap by ethnicity"
"Location","England"
"Time period","2014"
"Data source","Fuel poverty statistics https://www.gov.uk/government/collections/fuel-poverty-statistics"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","NS-SEC group","Income band","Region","Value"
"% of households in Fuel Poverty in England","2014","Annual","White British","ONS 2001 5+1 (expanded White British)","England","England as a whole","All","All","All","All","All","Equivalised after housing cost income (Deciles 1-3)","All","379"
"% of households in Fuel Poverty in England","2014","Annual","Any Other White","ONS 2001 5+1 (expanded non-White British)","England","England as a whole","All","All","All","All","All","Equivalised after housing cost income (Deciles 1-3)","All","297"
"% of households in Fuel Poverty in England","2014","Annual","Black","ONS 2001 5+1 (expanded non-White British)","England","England as a whole","All","All","All","All","All","Equivalised after housing cost income (Deciles 1-3)","All","271"
"% of households in Fuel Poverty in England","2014","Annual","Mixed","ONS 2001 5+1 (expanded non-White British)","England","England as a whole","All","All","All","All","All","Equivalised after housing cost income (Deciles 1-3)","All","?"
"% of households in Fuel Poverty in England","2014","Annual","Asian","ONS 2001 5+1 (expanded non-White British)","England","England as a whole","All","All","All","All","All","Equivalised after housing cost income (Deciles 1-3)","All","410"
"% of households in Fuel Poverty in England","2014","Annual","Chinese and Other","ONS 2001 5+1 (expanded non-White British)","England","England as a whole","All","All","All","All","All","Equivalised after housing cost income (Deciles 1-3)","All","310"
"% of households in Fuel Poverty in England","2014","Annual","Unknown","ONS 2001 5+1 (expanded non-White British)","England","England as a whole","All","All","All","All","All","Equivalised after housing cost income (Deciles 1-3)","All","?"
"% of households in Fuel Poverty in England","2014","Annual","All","ONS 2001 5+1 (expanded non-White British)","England","England as a whole","All","All","All","All","All","Equivalised after housing cost income (Deciles 1-3)","All","371"
