"","All","Asian","Black","Mixed","White","Other"
"Highest qualification","","","","","",""
"All","13%","12%","14%","16%","13%","16%"
"Level 4 and above","7%","5%","5%","7%","8%","9%"
"Level 3","11%","15%","9%","8%","11%","16%"
"Level 2","15%","16%","16%","17%","15%","23%"
"Below level 2","16%","13%","21%","?","16%","?"
"Other qualifications","13%","11%","16%","?","13%","17%"
"No qualifications","40%","35%","53%","?","40%","34%"
