"","All","Asian","Black","Mixed","White","Other"
"Highest qualification","","","","","",""
"All","19","26","20","21","18","27"
"Level 4 and above","11","14","10","9","11","19"
"Level 3","15","26","18","17","14","25"
"Level 2","21","29","24","28","21","32"
"Below Level 2","26","33","30","35","25","44"
"Other qualifications","21","31","27","?","18","27"
"No qualifications","51","58","51","57","50","52"
