"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","25%","41%","24%","26%","24%","38%"
"Level 4 and above","15%","24%","13%","10%","14%","28%"
"Level 3","19%","36%","25%","25%","18%","34%"
"Level 2","27%","42%","29%","38%","26%","42%"
"Below level 2","35%","53%","39%","?","34%","55%"
"Other qualifications","32%","54%","39%","?","26%","39%"
"No qualifications","61%","78%","49%","?","59%","70%"
