"","All","Men","Women"
"Ethnicity","%","%","%"
"Asian","1.4","2.0","0.7"
"Black","3.5","2.9","4.0"
"Mixed/Other","1.8","1.6","2.0"
"White - British","2.0","2.3","1.8"
"White - Other","2.0","3.1","1.1"
