"","All","","Asian","","Black","","White","","Other",""
"Year","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents","%","Number of respondents"
"2005/06","48","28,117","59","2,080","57","1,322","47","24,038","55","645"
"2010/11","40","14,102","50","796","51","423","38","12,617","48","238"
"2015/16","33","10,171","47","434","48","242","32","9,312","40","174"
