"Title","Confidence in the police by ethnicity and sex"
"Location","England and Wales"
"Time period","2013/14  to 2015/16 (combined)"
"Data source","Crime Survey for England and Wales"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Time","Ethnicity","Gender","Value","Denominator"
"2013/14- 2015/16","Asian","Male","78.6","2586"
"2013/14- 2015/16","Asian","Female","78.8","2615"
"2013/14- 2015/16","Asian","All","78.7","5201"
"2013/14- 2015/16","Black","Male","69.1","1143"
"2013/14- 2015/16","Black","Female","73.1","1579"
"2013/14- 2015/16","Black","All","71.2","2722"
"2013/14- 2015/16","Mixed","Male","71.2","412"
"2013/14- 2015/16","Mixed","Female","67.9","587"
"2013/14- 2015/16","Mixed","All","69.4","999"
"2013/14- 2015/16","Other","Female","78.1","336"
"2013/14- 2015/16","Other","Male","78.1","368"
"2013/14- 2015/16","Other","All","78.1","704"
"2013/14- 2015/16","White","Male","76.0","42297"
"2013/14- 2015/16","White","Female","77.6","50972"
"2013/14- 2015/16","White","All","76.8","93269"
