"Title","Judges and non-legal members of the judiciary by ethnicity"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Judicial Statistics 2016"
"Data source link","https://www.judiciary.gov.uk/publications/judicial-statistics-2016/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","Asian","Black","Mixed","White","Other","Unknown"
"Court/Tribunal","","","","","",""
"Court judges","79","26","41","2,506","28","522"
"Tribunal judges and non-legal members","390","106","64","4,130","90","662"
