"Title","People getting involved in local decisions, by ethnicity"
"Location","England"
"Time period","2016/17 to 2017/18"
"Data source","Community Life Survey"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/07/2018"

"Time","Ethnicity","%","Number of respondents"
"2016/17","All","8","10,256"
"2016/17","Asian","8","1,111"
"2016/17","Black","12","360"
"2016/17","Mixed","6","467"
"2016/17","White","8","8,022"
"2016/17","Other","5","163"
"2017/18","All","8","10,217"
"2017/18","Asian","8","926"
"2017/18","Black","12","353"
"2017/18","Mixed","8","510"
"2017/18","White","7","8,108"
"2017/18","Other","13","124"
