"Title","Taking part in local decision making"
"Location","England"
"Time period","2016/17 to 2017/18"
"Data source","Department for Digital, Culture, Media and Sport"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-03"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Number of respondents"
"Civic activism at least once in the last year","2016/17","Year","All","5+1","England","8","10256"
"Civic activism at least once in the last year","2016/17","Year","Asian","5+1","England","8","1111"
"Civic activism at least once in the last year","2016/17","Year","Black","5+1","England","12","360"
"Civic activism at least once in the last year","2016/17","Year","Mixed","5+1","England","6","467"
"Civic activism at least once in the last year","2016/17","Year","White","5+1","England","8","8022"
"Civic activism at least once in the last year","2016/17","Year","Other","5+1","England","5","163"
"Civic activism at least once in the last year","2017/18","Year","All","5+1","England","8","10217"
"Civic activism at least once in the last year","2017/18","Year","Asian","5+1","England","8","926"
"Civic activism at least once in the last year","2017/18","Year","Black","5+1","England","12","353"
"Civic activism at least once in the last year","2017/18","Year","Mixed","5+1","England","8","510"
"Civic activism at least once in the last year","2017/18","Year","White","5+1","England","7","8108"
"Civic activism at least once in the last year","2017/18","Year","Other","5+1","England","13","124"
