"","Not remanded","","","Bail","","","Custody","",""
"Year","Ethnicity","Age group","%","Ethnicity","Age group","%","Ethnicity","Age group","%"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2012"," White"," Juveniles","3.3"," White"," Juveniles","65.3"," White"," Juveniles","31.3"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
"2013"," White"," Juveniles","6.4"," White"," Juveniles","60.1"," White"," Juveniles","33.5"
