"","2012 to 2014","2013 to 2015"
"Ethnicity","%","%"
"White","65.7","65.8"
"Mixed","54.3","53.9"
"Asian","53.6","55.1"
"Black","66.5","67.2"
"Chinese","39.5","40.9"
"Other","58.0","58.4"
"All","64.6","64.8"
