"Title","Pupils aged 16 to 18 achieving 3 A grades or better at A level by ethnicity"
"Location","England"
"Time period","2010/11 to 2015/16"
"Data source","A level attainment characteristics https://www.gov.uk/government/publications/a-level-attainment-by-pupil-characteristics"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Time","Time_type","Ethnicity","Ethnicity_type","Numerator ","Denominator","Value"
"2015","Year","Unclassified","DFE","286","2,218","13"
"2015","Year","White British","DFE","15,172","161,570","9"
"2015","Year","White Gypsy/Roma","DFE","3","33","9"
"2015","Year","White Irish","DFE","113","1,019","11"
"2015","Year","White Irish Traveller","DFE","0","7","0"
"2015","Year","White Other","DFE","796","7,858","10"
"2015","Year","White","DFE","16,084","170,487","9"
"2015","Year","Mixed","DFE","855","9,077","9"
"2015","Year","Asian","DFE","2,136","23,920","9"
"2015","Year","Black","DFE","459","11,411","4"
"2016","Year","All","DFE","!","!","13"
"2016","Year","Unmatched","DFE","10,273","40,203","26"
"2016","Year","Other","DFE","331","2,975","11"
"2016","Year","Asian Other","DFE","447","3,789","12"
"2016","Year","Bangladeshi","DFE","212","3,396","6"
"2016","Year","Indian","DFE","1,052","7,702","14"
"2016","Year","Pakistani","DFE","416","6,210","7"
"2016","Year","Black African","DFE","345","6,582","5"
"2016","Year","Black Caribbean","DFE","62","1,961","3"
"2016","Year","Black Other","DFE","42","914","5"
"2016","Year","Chinese","DFE","347","1,450","24"
"2016","Year","Mixed Other","DFE","382","3,169","12"
"2016","Year","Mixed White/Asian","DFE","305","2,155","14"
"2016","Year","Mixed White/Black African","DFE","75","875","9"
"2016","Year","Mixed White/Black Caribbean","DFE","125","1,817","7"
"2016","Year","Unclassified","DFE","252","1,883","13"
"2016","Year","White British","DFE","14,207","132,462","11"
"2016","Year","White Gypsy/Roma","DFE","0","17","0"
"2016","Year","White Irish","DFE","136","901","15"
"2016","Year","White Irish Traveller","DFE","0","4","0"
"2016","Year","White Other","DFE","794","7,267","11"
"2016","Year","White","DFE","15,137","140,651","11"
"2016","Year","Mixed","DFE","887","8,016","11"
"2016","Year","Asian","DFE","2,127","21,097","10"
"2016","Year","Black","DFE","449","9,457","5"
