"Title","Physical activity levels by ethnicity and gender"
"Location","England"
"Time period","2015/2016"
"Data source","Active Lives Survey"
"Data source link","https://www.sportengland.org/research/active-lives-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Gender","Ethnicity","%","Number of respondents"
"All","All","61","192,623"
"All","Asian","54","7,984"
"All","Black","55","2,910"
"All","Chinese","55","1,057"
"All","Mixed","69","1,982"
"All","Other","56","1,500"
"All","White British","61","167,292"
"All","White other","65","9,898"
"Female","All","59","107,612"
"Female","Asian","49","4,183"
"Female","Black","50","1,750"
"Female","Chinese","53","617"
"Female","Mixed","68","1,207"
"Female","Other","56","835"
"Female","White British","59","93,117"
"Female","White other","64","5,903"
"Male","All","63","84,660"
"Male","Asian","59","3,787"
"Male","Black","61","1,149"
"Male","Chinese","57","437"
"Male","Mixed","70","771"
"Male","Other","57","664"
"Male","White British","64","73,864"
"Male","White other","65","3,988"
