"Title","Unemployed 16-24 year olds by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","January 2004"

"","White","Other"
"Year","%","%"
"2004","11","24"
"2005","12","23"
"2006","13","23"
"2007","13","24"
"2008","14","26"
"2009","18","29"
"2010","18","31"
"2011","N/A","N/A"
"2012","20","33"
"2013","18","35"
"2014","16","27"
"2015","13","24"
"2016","12","23"
