"Title"," Incidents of self-harm by young people in custody by ethnicity"
"Location","England and Wales"
"Time period","2015/16"
"Data source","Youth Justice Statistics Supplementary Tables 8.10/8.11"
"Data source link","https://www.gov.uk/government/statistics/youth-justice-statistics-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26 January 2017"

"Ethnicity","Rate","Average population per month","Average number of self harm incidents per month"
"White","12.4","766.4","95.3"
"Other","3.8","524.0","20.2"
