"Title","Science attainment for children aged 5 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_girls"
"South West","North Somerset","E06000024","Asian","ONS 5","Boys","All/Boys/Girls","100","85"
"North East","North Tyneside","E08000022","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","North Yorkshire","E10000023","Asian","ONS 5","Boys","All/Boys/Girls","70","93"
"East Midlands","Northamptonshire","E10000021","Asian","ONS 5","Boys","All/Boys/Girls","77","86"
"North East","Northumberland","E06000057","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"East Midlands","Nottingham","E06000018","Asian","ONS 5","Boys","All/Boys/Girls","76","82"
"East Midlands","Nottinghamshire","E10000024","Asian","ONS 5","Boys","All/Boys/Girls","72","80"
"North West","Oldham","E08000004","Asian","ONS 5","Boys","All/Boys/Girls","62","70"
"South East","Oxfordshire","E10000025","Asian","ONS 5","Boys","All/Boys/Girls","73","77"
"East","Peterborough","E06000031","Asian","ONS 5","Boys","All/Boys/Girls","71","78"
"South West","Plymouth","E06000026","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Poole","E06000029","Asian","ONS 5","Boys","All/Boys/Girls","77","86"
"South East","Portsmouth","E06000044","Asian","ONS 5","Boys","All/Boys/Girls","79","82"
"South East","Reading","E06000038","Asian","ONS 5","Boys","All/Boys/Girls","73","83"
"London","Redbridge","E09000026","Asian","ONS 5","Boys","All/Boys/Girls","83","87"
"North East","Redcar and Cleveland","E06000003","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Richmond upon Thames","E09000027","Asian","ONS 5","Boys","All/Boys/Girls","80","86"
"North West","Rochdale","E08000005","Asian","ONS 5","Boys","All/Boys/Girls","76","79"
"Yorkshire and The Humber","Rotherham","E08000018","Asian","ONS 5","Boys","All/Boys/Girls","73","83"
"East Midlands","Rutland","E06000017","Asian","ONS 5","Boys","All/Boys/Girls","100","100"
"North West","Salford","E08000006","Asian","ONS 5","Boys","All/Boys/Girls","80","85"
"West Midlands","Sandwell","E08000028","Asian","ONS 5","Boys","All/Boys/Girls","71","80"
"North West","Sefton","E08000014","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","Sheffield","E08000019","Asian","ONS 5","Boys","All/Boys/Girls","71","77"
"West Midlands","Shropshire","E06000051","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Slough","E06000039","Asian","ONS 5","Boys","All/Boys/Girls","83","89"
"West Midlands","Solihull","E08000029","Asian","ONS 5","Boys","All/Boys/Girls","74","82"
