"Title","Type of custodial order by ethnicity of young person in custody"
"Location","England and Wales"
"Time period","2015/16"
"Data source","Youth justice statistics"
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Legal basis for detention","%","Number"
"White","Remand","50.3","106"
"White","DTO","64.7","323"
"White","Section 91","51.3","105"
"White","Other Sentences","48.9","21"
"Other","Remand","49.1","104"
"Other","DTO","34.7","173"
"Other","Section 91","48.2","99"
"Other","Other Sentences","51.1","22"
"Unknown","Remand","0.6","1"
"Unknown","DTO","0.6","3"
"Unknown","Section 91","0.5","1"
"Unknown","Other Sentences","0.0","0"
