"Title","Young people in custody by ethnicity and type of custodial order over time"
"Location","England and Wales"
"Time period","2010/11 to 2016/17"
"Data source","Youth justice statistics"
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","25/01/2018"

"","Remand","","DTO","","Section 91","","Other Sentences",""
"Year","% White","% Other","% White","% Other","% White","% Other","% White","% Other"
"2010/11","21.8","32.6","61.7","42.6","12.9","19.0","3.6","5.9"
"2011/12","21.4","28.5","63.7","49.3","11.5","17.9","3.4","4.4"
"2012/13","18.2","26.6","64.5","48.2","14.2","21.7","3.1","3.5"
"2013/14","18.2","26.0","64.1","46.0","14.5","24.4","3.2","3.5"
"2014/15","18.5","30.1","59.6","44.2","18.0","21.6","4.0","4.1"
"2015/16","19.2","26.1","58.1","43.5","18.9","24.9","3.8","5.5"
"2016/17","17.7","25.2","55.5","41.9","22.2","26.6","4.6","6.3"
