"Title","Use of force on young people in custody by ethnicity of offender"
"Location","England and Wales"
"Time period","2016/17"
"Data source","Youth Justice annual statistics: 2016 to 2017"
"Data source link","https://www.gov.uk/government/statistics/youth-justice-annual-statistics-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","25/01/2018"

"Ethnic Group","Establishment","Average number of incidents per 100 young people","Average number of incidents"
"White","Cookham Wood YOI","30.8","22"
"White","Feltham YOI","25.7","16"
"White","Medway STC","60.0","8"
"White","Oakhill STC","101.0","43"
"White","Rainsbrook STC","78.5","36"
"White","Werrington YOI","17.7","12"
"White","Wetherby YOI","22.3","45"
"Other","Cookham Wood YOI","47.1","52"
"Other","Feltham YOI","43.5","47"
"Other","Medway STC","88.1","15"
"Other","Oakhill STC","135.1","54"
"Other","Rainsbrook STC","94.6","21"
"Other","Werrington YOI","24.7","16"
"Other","Wetherby YOI","30.9","31"
