"Title","Stop and search by ethnicity and area"
"Location","England and Wales"
"Time period","2016/17"
"Data source","Policing statistics"
"Data source link","https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","8 November 2017"

"","All","Asian","Black","Mixed","Other","White"
"Police Force Area","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000"
"All - including BTP","5","8","29","9","6","4"
"Avon & Somerset","4","2","15","5","1","3"
"Bedfordshire","3","3","5","4","1","2"
"British Transport Police","N/A","N/A","N/A","N/A","N/A","N/A"
"Cambridgeshire","2","2","9","3","1","1"
"Cheshire","3","1","9","3","2","2"
"Cleveland","2","3","5","0","2","2"
"Cumbria","4","7","24","4","0","3"
"Derbyshire","2","3","8","4","1","2"
"Devon & Cornwall","3","4","25","2","2","3"
"Dorset","4","3","73","8","2","4"
"Durham","3","3","5","4","1","3"
"Dyfed-Powys","5","5","16","5","2","4"
"Essex","2","3","13","3","1","2"
"Gloucestershire","3","4","29","7","2","3"
"Greater Manchester","1","1","3","2","1","1"
"Gwent","2","5","7","7","2","2"
"Hampshire","5","4","35","7","2","4"
"Hertfordshire","7","7","24","10","5","5"
"Humberside","1","1","5","1","1","1"
"Kent","4","3","25","4","62","3"
"Lancashire","2","3","8","4","1","2"
"Leicestershire","1","1","5","2","0","1"
"Lincolnshire","4","3","14","3","5","3"
"London, City of","N/A","N/A","N/A","N/A","N/A","N/A"
"Merseyside","6","5","14","4","2","5"
"Metropolitan Police","17","13","40","14","9","10"
"Norfolk","4","5","48","10","1","4"
"North Wales","2","2","7","3","2","2"
"North Yorkshire","3","9","11","5","2","3"
"Northamptonshire","2","2","12","4","2","1"
"Northumbria","3","3","9","2","1","3"
"Nottinghamshire","2","2","9","4","1","1"
"South Wales","4","5","16","6","1","4"
"South Yorkshire","2","4","8","4","0","1"
"Staffordshire","4","9","22","8","2","3"
"Suffolk","3","6","30","9","2","2"
"Surrey","4","6","28","8","2","3"
"Sussex","4","8","40","6","4","3"
"Thames Valley","4","5","13","9","1","3"
"Warwickshire","4","5","25","9","3","3"
"West Mercia","4","14","44","10","3","4"
"West Midlands","5","6","14","7","0","3"
"West Yorkshire","5","6","8","7","1","4"
"Wiltshire","2","4","19","4","1","2"
