"Title","Stop and search by ethnicity and area"
"Location","England and Wales"
"Time period","2016/17"
"Data source","Policing statistics"
"Data source link","https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","8 November 2017"

"Standard Ethnicity","Police Force Area","Rate per 1,000"
"White","Avon & Somerset","3"
"White","Bedfordshire","2"
"White","British Transport Police","N/A"
"White","Cambridgeshire","1"
"White","Cheshire","2"
"White","Cleveland","2"
"White","Cumbria","3"
"White","Derbyshire","2"
"White","Devon & Cornwall","3"
"White","Dorset","4"
"White","Durham","3"
"White","Dyfed-Powys","4"
"White","Essex","2"
"White","Gloucestershire","3"
"White","Greater Manchester","1"
"White","Gwent","2"
"White","Hampshire","4"
"White","Hertfordshire","5"
"White","Humberside","1"
"White","Kent","3"
"White","Lancashire","2"
"White","Leicestershire","1"
"White","Lincolnshire","3"
"White","London, City of","N/A"
"White","Merseyside","5"
"White","Metropolitan Police","10"
"White","Norfolk","4"
"White","North Wales","2"
"White","North Yorkshire","3"
"White","Northamptonshire","1"
"White","Northumbria","3"
"White","Nottinghamshire","1"
"White","South Wales","4"
"White","South Yorkshire","1"
"White","Staffordshire","3"
"White","Suffolk","2"
"White","Surrey","3"
"White","Sussex","3"
"White","Thames Valley","3"
"White","Warwickshire","3"
"White","West Mercia","4"
"White","West Midlands","3"
"White","West Yorkshire","4"
"White","Wiltshire","2"
