"Title","Police officers by ethnicity and area"
"Location","England and Wales"
"Time period","2018"
"Data source","Police workforce, England and Wales: 31 March 2018"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19/07/2018"

"Ethnicity","Police force area","% officers","% population ","Number of police officers"
"Asian","All - excluding BTP","2.7","6.8"," 3,266 "
"Asian","Avon & Somerset","0.3","2.1","7"
"Asian","Bedfordshire","5.4","13.2","61"
"Asian","British Transport Police","N/A","N/A","114"
"Asian","Cambridgeshire","1.2","4.9","16"
"Asian","Cheshire","0.4","1.2","8"
"Asian","Cleveland","1.3","3.1","16"
"Asian","Cumbria","0.3","0.6","3"
"Asian","Derbyshire","2.1","3.6","37"
"Asian","Devon & Cornwall","0.2","0.7","4"
"Asian","Dorset","0.2","1.4","3"
"Asian","Durham","0.5","0.8","6"
"Asian","Dyfed-Powys","0.2","0.8","2"
"Asian","Essex","0.3","2.3","10"
"Asian","Gloucestershire","0.7","1.8","7"
"Asian","Greater Manchester","3.6","9.2","230"
"Asian","Gwent","0.7","1.7","9"
"Asian","Hampshire","1.0","3.0","27"
"Asian","Hertfordshire","1.6","5.7","30"
"Asian","Humberside","0.5","1.3","9"
"Asian","Kent","1.2","3.1","40"
"Asian","Lancashire","2.5","7.4","70"
"Asian","Leicestershire","5.1","15.3","88"
"Asian","Lincolnshire","0.5","0.8","5"
"Asian","London, City of","2.4","9.2","17"
"Asian","Merseyside","0.4","1.4","14"
"Asian","Metropolitan Police","5.5","17.0"," 1,666 "
"Asian","Norfolk","0.3","1.1","5"
"Asian","North Wales","0.2","0.9","3"
"Asian","North Yorkshire","0.3","1.2","4"
"Asian","Northamptonshire","1.2","3.3","13"
"Asian","Northumbria","0.5","2.7","14"
"Asian","Nottinghamshire","2.2","4.4","42"
"Asian","South Wales","0.6","2.8","16"
"Asian","South Yorkshire","1.9","4.1","45"
"Asian","Staffordshire","1.0","3.2","16"
"Asian","Suffolk","0.3","1.5","3"
"Asian","Surrey","1.2","4.8","20"
"Asian","Sussex","0.3","2.5","8"
"Asian","Thames Valley","1.7","8.5","70"
"Asian","Warwickshire","3.6","4.2","29"
"Asian","West Mercia","1.0","1.8","20"
"Asian","West Midlands","6.1","18.0","396"
"Asian","West Yorkshire","3.4","12.6","170"
"Asian","Wiltshire","0.5","2.6","5"
"Black","All - excluding BTP","1.2","3.3"," 1,424 "
"Black","Avon & Somerset","0.3","1.9","7"
"Black","Bedfordshire","1.4","4.8","16"
"Black","British Transport Police","N/A","N/A","74"
"Black","Cambridgeshire","0.3","1.3","5"
"Black","Cheshire","0.2","0.3","4"
"Black","Cleveland","0.1","0.6","1"
"Black","Cumbria","0.2","0.1","2"
"Black","Derbyshire","0.2","1.0","4"
"Black","Devon & Cornwall","0.3","0.2","6"
"Black","Dorset","0.2","0.4","2"
"Black","Durham","0.1","0.2","1"
"Black","Dyfed-Powys","0.1","0.2","1"
"Black","Essex","0.2","2.0","5"
"Black","Gloucestershire","0.4","0.9","4"
"Black","Greater Manchester","0.6","2.8","36"
"Black","Gwent","0.5","0.6","6"
"Black","Hampshire","0.3","0.9","9"
"Black","Hertfordshire","0.7","2.8","14"
"Black","Humberside","0.4","0.5","7"
"Black","Kent","0.2","1.3","5"
"Black","Lancashire","0.1","0.4","3"
"Black","Leicestershire","0.6","2.4","11"
"Black","Lincolnshire","0.6","0.4","6"
"Black","London, City of","1.6","2.6","11"
"Black","Merseyside","0.6","1.1","19"
"Black","Metropolitan Police","3.3","13.3","993"
"Black","Norfolk","0.5","0.5","7"
"Black","North Wales","0.1","0.2","1"
"Black","North Yorkshire","0.0","0.5"," -   "
"Black","Northamptonshire","1.1","2.4","13"
"Black","Northumbria","0.1","0.6","4"
"Black","Nottinghamshire","0.8","2.5","16"
"Black","South Wales","0.2","1.0","5"
"Black","South Yorkshire","0.5","1.9","12"
"Black","Staffordshire","0.4","0.8","6"
"Black","Suffolk","0.4","0.9","4"
"Black","Surrey","0.6","1.1","9"
"Black","Sussex","0.2","0.9","5"
"Black","Thames Valley","0.7","3.0","29"
"Black","Warwickshire","0.1","0.8","1"
"Black","West Mercia","0.3","0.4","6"
"Black","West Midlands","1.5","6.0","98"
"Black","West Yorkshire","0.5","2.1","27"
"Black","Wiltshire","0.4","0.9","4"
"Mixed","All - excluding BTP","1.9","2.2"," 2,309 "
"Mixed","Avon & Somerset","2.0","1.8","47"
"Mixed","Bedfordshire","3.3","3.0","37"
"Mixed","British Transport Police","N/A","N/A","75"
"Mixed","Cambridgeshire","1.6","2.0","22"
"Mixed","Cheshire","0.8","1.0","16"
"Mixed","Cleveland","0.3","1.0","4"
"Mixed","Cumbria","0.5","0.5","5"
"Mixed","Derbyshire","0.9","1.4","16"
"Mixed","Devon & Cornwall","0.9","0.9","21"
"Mixed","Dorset","1.1","1.3","14"
"Mixed","Durham","1.1","0.7","12"
"Mixed","Dyfed-Powys","0.9","0.6","9"
"Mixed","Essex","1.5","1.6","42"
"Mixed","Gloucestershire","0.9","1.5","9"
"Mixed","Greater Manchester","2.0","2.3","129"
"Mixed","Gwent","0.9","1.0","11"
"Mixed","Hampshire","1.2","1.6","32"
"Mixed","Hertfordshire","2.0","2.5","38"
"Mixed","Humberside","0.6","0.9","10"
"Mixed","Kent","1.4","1.6","44"
"Mixed","Lancashire","1.8","1.1","51"
"Mixed","Leicestershire","2.0","2.0","35"
"Mixed","Lincolnshire","0.9","0.9","10"
"Mixed","London, City of","2.0","3.9","14"
"Mixed","Merseyside","2.1","1.5","72"
"Mixed","Metropolitan Police","3.3","5.0","987"
"Mixed","Norfolk","0.9","1.2","14"
"Mixed","North Wales","0.5","0.7","8"
"Mixed","North Yorkshire","0.9","0.9","12"
"Mixed","Northamptonshire","1.4","2.0","16"
"Mixed","Northumbria","1.0","0.9","31"
"Mixed","Nottinghamshire","1.5","2.8","28"
"Mixed","South Wales","1.4","1.4","40"
"Mixed","South Yorkshire","1.2","1.5","30"
"Mixed","Staffordshire","0.9","1.3","14"
"Mixed","Suffolk","2.3","1.7","26"
"Mixed","Surrey","1.6","2.1","26"
"Mixed","Sussex","1.2","1.9","30"
"Mixed","Thames Valley","2.2","2.5","90"
"Mixed","Warwickshire","0.9","1.5","7"
"Mixed","West Mercia","1.1","1.1","21"
"Mixed","West Midlands","2.3","3.5","147"
"Mixed","West Yorkshire","1.5","2.2","75"
"Mixed","Wiltshire","0.7","1.4","7"
"White","All - excluding BTP","93.4","86.0"," 111,505 "
"White","Avon & Somerset","97.1","93.3"," 2,260 "
"White","Bedfordshire","89.7","77.5"," 1,002 "
"White","British Transport Police","N/A","N/A"," 2,500 "
"White","Cambridgeshire","96.7","90.3"," 1,321 "
"White","Cheshire","98.5","96.9"," 1,916 "
"White","Cleveland","98.1","94.5"," 1,208 "
"White","Cumbria","99.1","98.5"," 1,067 "
"White","Derbyshire","96.6","93.3"," 1,674 "
"White","Devon & Cornwall","98.4","97.5"," 2,272 "
"White","Dorset","98.4","96.0"," 1,184 "
"White","Durham","98.2","97.8"," 1,119 "
"White","Dyfed-Powys","98.7","98.0","957"
"White","Essex","97.8","93.2"," 2,834 "
"White","Gloucestershire","97.7","95.4"," 1,014 "
"White","Greater Manchester","93.1","83.8"," 5,902 "
"White","Gwent","97.7","96.1"," 1,211 "
"White","Hampshire","96.9","93.3"," 2,641 "
"White","Hertfordshire","95.7","87.6"," 1,855 "
"White","Humberside","98.5","96.5"," 1,758 "
"White","Kent","97.0","93.1"," 3,122 "
"White","Lancashire","95.4","90.4"," 2,689 "
"White","Leicestershire","92.2","78.4"," 1,599 "
"White","Lincolnshire","98.0","97.6"," 1,055 "
"White","London, City of","93.7","78.6","651"
"White","Merseyside","96.4","94.5"," 3,300 "
"White","Metropolitan Police","85.8","59.8"," 25,861 "
"White","Norfolk","98.0","96.5"," 1,505 "
"White","North Wales","99.1","97.5"," 1,452 "
"White","North Yorkshire","98.8","96.6"," 1,315 "
"White","Northamptonshire","96.2","91.5"," 1,119 "
"White","Northumbria","98.3","94.6"," 3,022 "
"White","Nottinghamshire","95.3","88.8"," 1,805 "
"White","South Wales","97.6","93.4"," 2,828 "
"White","South Yorkshire","96.4","90.6"," 2,358 "
"White","Staffordshire","97.7","94.1"," 1,549 "
"White","Suffolk","96.9","95.2"," 1,071 "
"White","Surrey","96.0","90.4"," 1,582 "
"White","Sussex","97.8","93.7"," 2,396 "
"White","Thames Valley","94.9","84.6"," 3,822 "
"White","Warwickshire","94.9","92.7","751"
"White","West Mercia","97.4","96.2"," 1,908 "
"White","West Midlands","90.0","70.1"," 5,858 "
"White","West Yorkshire","94.3","81.8"," 4,717 "
"White","Wiltshire","98.2","94.5","975"
"Other inc Chinese","All - excluding BTP","0.7","1.7","852"
"Other inc Chinese","Avon & Somerset","0.3","1.0","7"
"Other inc Chinese","Bedfordshire","0.1","1.4","1"
"Other inc Chinese","British Transport Police","N/A","N/A","12"
"Other inc Chinese","Cambridgeshire","0.2","1.6","3"
"Other inc Chinese","Cheshire","0.1","0.5","2"
"Other inc Chinese","Cleveland","0.2","0.8","2"
"Other inc Chinese","Cumbria","0.0","0.3"," -   "
"Other inc Chinese","Derbyshire","0.2","0.7","3"
"Other inc Chinese","Devon & Cornwall","0.2","0.6","5"
"Other inc Chinese","Dorset","0.1","0.8","1"
"Other inc Chinese","Durham","0.1","0.5","1"
"Other inc Chinese","Dyfed-Powys","0.1","0.4","1"
"Other inc Chinese","Essex","0.2","0.9","6"
"Other inc Chinese","Gloucestershire","0.4","0.5","4"
"Other inc Chinese","Greater Manchester","0.7","2.0","45"
"Other inc Chinese","Gwent","0.2","0.6","2"
"Other inc Chinese","Hampshire","0.6","1.1","16"
"Other inc Chinese","Hertfordshire","0.1","1.4","1"
"Other inc Chinese","Humberside","0.0","0.8"," -   "
"Other inc Chinese","Kent","0.2","0.9","8"
"Other inc Chinese","Lancashire","0.2","0.7","5"
"Other inc Chinese","Leicestershire","0.1","1.9","2"
"Other inc Chinese","Lincolnshire","0.1","0.4","1"
"Other inc Chinese","London, City of","0.3","5.7","2"
"Other inc Chinese","Merseyside","0.5","1.6","17"
"Other inc Chinese","Metropolitan Police","2.1","5.0","619"
"Other inc Chinese","Norfolk","0.3","0.6","4"
"Other inc Chinese","North Wales","0.1","0.6","1"
"Other inc Chinese","North Yorkshire","0.0","0.8"," -   "
"Other inc Chinese","Northamptonshire","0.1","0.8","1"
"Other inc Chinese","Northumbria","0.1","1.3","4"
"Other inc Chinese","Nottinghamshire","0.2","1.4","3"
"Other inc Chinese","South Wales","0.3","1.5","8"
"Other inc Chinese","South Yorkshire","0.1","1.8","2"
"Other inc Chinese","Staffordshire","0.0","0.7"," -   "
"Other inc Chinese","Suffolk","0.2","0.6","2"
"Other inc Chinese","Surrey","0.6","1.7","10"
"Other inc Chinese","Sussex","0.4","1.0","10"
"Other inc Chinese","Thames Valley","0.4","1.4","18"
"Other inc Chinese","Warwickshire","0.5","0.9","4"
"Other inc Chinese","West Mercia","0.2","0.5","4"
"Other inc Chinese","West Midlands","0.2","2.3","12"
"Other inc Chinese","West Yorkshire","0.3","1.4","14"
"Other inc Chinese","Wiltshire","0.2","0.6","2"
"Unknown","All - excluding BTP","N/A","N/A"," 3,048 "
"Unknown","Avon & Somerset","N/A","N/A","268"
"Unknown","Bedfordshire","N/A","N/A","14"
"Unknown","British Transport Police","N/A","N/A","90"
"Unknown","Cambridgeshire","N/A","N/A","17"
"Unknown","Cheshire","N/A","N/A","75"
"Unknown","Cleveland","N/A","N/A","26"
"Unknown","Cumbria","N/A","N/A","18"
"Unknown","Derbyshire","N/A","N/A","4"
"Unknown","Devon & Cornwall","N/A","N/A","651"
"Unknown","Dorset","N/A","N/A","60"
"Unknown","Durham","N/A","N/A","2"
"Unknown","Dyfed-Powys","N/A","N/A","216"
"Unknown","Essex","N/A","N/A","61"
"Unknown","Gloucestershire","N/A","N/A","35"
"Unknown","Greater Manchester","N/A","N/A","7"
"Unknown","Gwent","N/A","N/A","28"
"Unknown","Hampshire","N/A","N/A","109"
"Unknown","Hertfordshire","N/A","N/A","14"
"Unknown","Humberside","N/A","N/A","10"
"Unknown","Kent","N/A","N/A","42"
"Unknown","Lancashire","N/A","N/A","150"
"Unknown","Leicestershire","N/A","N/A","43"
"Unknown","Lincolnshire","N/A","N/A","10"
"Unknown","London, City of","N/A","N/A","2"
"Unknown","Merseyside","N/A","N/A","28"
"Unknown","Metropolitan Police","N/A","N/A","265"
"Unknown","Norfolk","N/A","N/A","22"
"Unknown","North Wales","N/A","N/A","25"
"Unknown","North Yorkshire","N/A","N/A","19"
"Unknown","Northamptonshire","N/A","N/A","52"
"Unknown","Northumbria","N/A","N/A","99"
"Unknown","Nottinghamshire","N/A","N/A","23"
"Unknown","South Wales","N/A","N/A","19"
"Unknown","South Yorkshire","N/A","N/A","12"
