"Ethnicity","%","% of population (2011)","Number (Headcount) of Special Constables"
"Asian","6.0","6.8","640"
"Black","1.9","3.3","204"
"Mixed","2.0","2.2","209"
"Other inc Chinese","1.4","1.7","146"
"White","88.7","86.0"," 9,423 "
"Unknown","N/A","N/A"," 1,068"
