"","Percentage of individuals in bottom income quintile","Percentage of individuals in second income quintile","Percentage of individuals in third income quintile","Percentage of individuals in fourth income quintile","Percentage of individuals in top income quintile"
"Ethnicity","%","%","%","%","%"
"Asian","33","25","16","13","13"
"Black","38","24","17","14","7"
"Mixed","27","17","25","16","15"
"White British","17","19","21","21","21"
"White Other","26","20","18","16","20"
"Other","44","19","11","12","13"
