"","Percentage of individuals in bottom income quintile","Percentage of individuals in second income quintile","Percentage of individuals in third income quintile","Percentage of individuals in fourth income quintile","Percentage of individuals in top income quintile"
"Ethnicity","%","%","%","%","%"
"Asian","33","21","16","15","15"
"Black","29","25","21","17","8"
"Mixed","23","14","23","20","19"
"White British","18","20","20","21","21"
"White Other","20","19","18","20","24"
"Other","30","22","17","15","16"
