"Title","Grammar, punctuation and spelling attainment for children aged 10 to 11 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"Standard Ethnicity","Local authority","%"
"All","Barking and Dagenham","81"
"All","Barnet","85"
"All","Barnsley","75"
"All","Bath and North East Somerset","79"
"All","Bedford","72"
"All","Bexley","80"
"All","Birmingham","78"
"All","Blackburn with Darwen","79"
"All","Blackpool","78"
"All","Bolton","79"
"All","Bournemouth","77"
"All","Bracknell Forest","76"
"All","Bradford","75"
"All","Brent","81"
"All","Brighton and Hove","78"
"All","Bristol, City of","76"
"All","Bromley","85"
"All","Buckinghamshire","79"
"All","Bury","80"
"All","Calderdale","76"
"All","Cambridgeshire","75"
"All","Camden","83"
"All","Central Bedfordshire","73"
"All","Cheshire East","81"
"All","Cheshire West and Chester","79"
"All","City of London","92"
"All","Cornwall","73"
"All","County Durham","79"
"All","Coventry","78"
"All","Croydon","80"
"All","Cumbria","76"
"All","Darlington","78"
"All","Derby","74"
"All","Derbyshire","76"
"All","Devon","76"
"All","Doncaster","72"
"All","Dorset","73"
"All","Dudley","73"
"All","Ealing","84"
"All","East Riding of Yorkshire","77"
"All","East Sussex","71"
"All","Enfield","78"
"All","Essex","79"
"All","Gateshead","82"
"All","Gloucestershire","77"
"All","Greenwich","82"
"All","Hackney","84"
"All","Halton","75"
"All","Hammersmith and Fulham","87"
"All","Hampshire","78"
"All","Haringey","81"
"All","Harrow","87"
"All","Hartlepool","81"
"All","Havering","84"
"All","Herefordshire, County of","76"
"All","Hertfordshire","80"
"All","Hillingdon","83"
"All","Hounslow","84"
"All","Isle of Wight","70"
"All","Isles of Scilly","76"
"All","Islington","81"
"All","Kensington and Chelsea","91"
"All","Kent","76"
"All","Kingston upon Hull, City of","76"
"All","Kingston upon Thames","86"
"All","Kirklees","76"
"All","Knowsley","74"
"All","Lambeth","85"
"All","Lancashire","78"
"All","Leeds","75"
"All","Leicester","76"
"All","Leicestershire","77"
"All","Lewisham","77"
"All","Lincolnshire","74"
"All","Liverpool","75"
"All","Luton","79"
"All","Manchester","79"
"All","Medway","70"
"All","Merton","84"
"All","Middlesbrough","78"
"All","Milton Keynes","80"
"All","Newcastle upon Tyne","78"
"All","Newham","86"
"All","Norfolk","70"
"All","North East Lincolnshire","74"
"All","North Lincolnshire","76"
"All","North Somerset","75"
"All","North Tyneside","79"
"All","North Yorkshire","74"
"All","Northamptonshire","74"
"All","Northumberland","74"
"All","Nottingham","76"
"All","Nottinghamshire","77"
"All","Oldham","77"
"All","Oxfordshire","77"
"All","Peterborough","70"
"All","Plymouth","76"
"All","Poole","72"
"All","Portsmouth","75"
"All","Reading","78"
"All","Redbridge","84"
"All","Redcar and Cleveland","83"
"All","Richmond upon Thames","90"
"All","Rochdale","77"
"All","Rotherham","76"
"All","Rutland","81"
"All","Salford","78"
"All","Sandwell","77"
"All","Sefton","80"
"All","Sheffield","74"
"All","Shropshire","75"
"All","Slough","81"
"All","Solihull","79"
"All","Somerset","74"
"All","South Gloucestershire","78"
"All","South Tyneside","79"
"All","Southampton","76"
"All","Southend-on-Sea","80"
"All","Southwark","81"
"All","St. Helens","78"
"All","Staffordshire","78"
"All","Stockport","80"
"All","Stockton-on-Tees","80"
"All","Stoke-on-Trent","73"
