"Title","Writing attainment for children aged 6 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"Ethnicity","Local authority","Boys","Girls"
"All","Barking and Dagenham","61","77"
"All","Barnet","65","77"
"All","Barnsley","60","75"
"All","Bath and North East Somerset","61","76"
"All","Bedford","59","73"
"All","Bexley","68","82"
"All","Birmingham","59","71"
"All","Blackburn with Darwen","61","74"
"All","Blackpool","58","74"
"All","Bolton","60","73"
"All","Bournemouth","61","74"
"All","Bracknell Forest","59","75"
"All","Bradford","58","74"
"All","Brent","63","74"
"All","Brighton and Hove","61","76"
"All","Bristol, City of","59","71"
"All","Bromley","69","80"
"All","Buckinghamshire","63","75"
"All","Bury","61","71"
"All","Calderdale","55","66"
"All","Cambridgeshire","58","71"
"All","Camden","61","74"
"All","Central Bedfordshire","63","77"
"All","Cheshire East","61","76"
"All","Cheshire West and Chester","55","73"
"All","City of London","!","!"
"All","Cornwall","58","72"
"All","County Durham","66","78"
"All","Coventry","57","71"
"All","Croydon","62","76"
"All","Cumbria","57","72"
"All","Darlington","61","79"
"All","Derby","57","70"
"All","Derbyshire","60","77"
"All","Devon","61","77"
"All","Doncaster","60","73"
"All","Dorset","58","76"
"All","Dudley","54","72"
"All","Ealing","61","75"
"All","East Riding of Yorkshire","63","78"
"All","East Sussex","64","78"
"All","Enfield","60","71"
"All","Essex","63","77"
"All","Gateshead","64","78"
"All","Gloucestershire","59","73"
"All","Greenwich","71","82"
"All","Hackney","72","83"
"All","Halton","52","64"
"All","Hammersmith and Fulham","66","79"
"All","Hampshire","68","80"
"All","Haringey","67","82"
"All","Harrow","67","79"
"All","Hartlepool","61","76"
"All","Havering","66","77"
"All","Herefordshire, County of","66","79"
"All","Hertfordshire","65","78"
"All","Hillingdon","63","76"
"All","Hounslow","67","82"
"All","Isle of Wight","54","71"
"All","Isles of Scilly","!","!"
"All","Islington","64","77"
"All","Kensington and Chelsea","73","78"
"All","Kent","66","79"
"All","Kingston upon Hull, City of","59","73"
"All","Kingston upon Thames","66","76"
"All","Kirklees","58","72"
"All","Knowsley","56","70"
"All","Lambeth","66","80"
"All","Lancashire","61","76"
"All","Leeds","52","66"
"All","Leicester","58","69"
"All","Leicestershire","61","75"
"All","Lewisham","68","78"
"All","Lincolnshire","59","72"
"All","Liverpool","50","65"
"All","Luton","58","70"
"All","Manchester","58","73"
"All","Medway","67","81"
"All","Merton","63","76"
"All","Middlesbrough","55","69"
"All","Milton Keynes","62","77"
"All","Newcastle upon Tyne","63","74"
"All","Newham","68","79"
"All","Norfolk","60","74"
"All","North East Lincolnshire","63","75"
"All","North Lincolnshire","64","77"
"All","North Somerset","66","79"
"All","North Tyneside","65","82"
"All","North Yorkshire","61","75"
"All","Northamptonshire","61","75"
"All","Northumberland","68","79"
"All","Nottingham","55","70"
"All","Nottinghamshire","59","75"
"All","Oldham","55","68"
"All","Oxfordshire","59","74"
"All","Peterborough","55","71"
"All","Plymouth","57","73"
"All","Poole","66","79"
"All","Portsmouth","59","75"
"All","Reading","62","73"
"All","Redbridge","64","79"
"All","Redcar and Cleveland","65","81"
"All","Richmond upon Thames","68","77"
"All","Rochdale","58","72"
"All","Rotherham","62","75"
"All","Rutland","67","77"
"All","Salford","62","75"
"All","Sandwell","56","72"
"All","Sefton","60","73"
"All","Sheffield","62","75"
"All","Shropshire","59","74"
"All","Slough","63","80"
"All","Solihull","63","77"
"All","Somerset","63","77"
"All","South Gloucestershire","66","81"
"All","South Tyneside","64","78"
"All","Southampton","60","74"
"All","Southend-on-Sea","64","78"
"All","Southwark","67","79"
"All","St. Helens","55","74"
"All","Staffordshire","66","79"
"All","Stockport","62","78"
"All","Stockton-on-Tees","66","79"
"All","Stoke-on-Trent","58","71"
"All","Suffolk","59","74"
"All","Sunderland","66","78"
"All","Surrey","65","78"
"All","Sutton","67","77"
"All","Swindon","65","76"
"All","Tameside","57","72"
"All","Telford and Wrekin","60","78"
"All","Thurrock","65","77"
"All","Torbay","61","75"
"All","Tower Hamlets","65","79"
"All","Trafford","66","79"
"All","Wakefield","58","72"
"All","Walsall","55","70"
"All","Waltham Forest","69","83"
"All","Wandsworth","71","81"
"All","Warrington","66","77"
"All","Warwickshire","64","76"
"All","West Berkshire","62","75"
"All","West Sussex","53","69"
"All","Westminster","63","76"
"All","Wigan","63","75"
"All","Wiltshire","58","73"
"All","Windsor and Maidenhead","68","79"
"All","Wirral","59","73"
"All","Wokingham","69","79"
"All","Wolverhampton","59","73"
"All","Worcestershire","63","76"
"All","York","61","78"
"Asian","Barking and Dagenham","69","82"
"Asian","Barnet","67","88"
"Asian","Barnsley","!","100"
"Asian","Bath and North East Somerset","40","69"
"Asian","Bedford","65","73"
"Asian","Bexley","88","89"
"Asian","Birmingham","63","74"
"Asian","Blackburn with Darwen","65","76"
"Asian","Blackpool","63","79"
"Asian","Bolton","66","76"
"Asian","Bournemouth","62","85"
"Asian","Bracknell Forest","76","91"
"Asian","Bradford","63","77"
"Asian","Brent","65","78"
"Asian","Brighton and Hove","52","74"
"Asian","Bristol, City of","58","74"
"Asian","Bromley","80","87"
"Asian","Buckinghamshire","56","72"
"Asian","Bury","58","68"
"Asian","Calderdale","49","54"
"Asian","Cambridgeshire","62","75"
"Asian","Camden","58","71"
"Asian","Central Bedfordshire","77","86"
"Asian","Cheshire East","85","83"
"Asian","Cheshire West and Chester","50","84"
"Asian","City of London","!","!"
"Asian","Cornwall","!","75"
"Asian","County Durham","70","82"
"Asian","Coventry","67","79"
"Asian","Croydon","67","81"
"Asian","Cumbria","50","73"
"Asian","Darlington","64","86"
"Asian","Derby","63","70"
"Asian","Derbyshire","58","82"
"Asian","Devon","62","81"
"Asian","Doncaster","57","85"
"Asian","Dorset","71","86"
"Asian","Dudley","54","73"
"Asian","Ealing","64","75"
"Asian","East Riding of Yorkshire","!","100"
"Asian","East Sussex","72","76"
"Asian","Enfield","74","85"
"Asian","Essex","82","84"
"Asian","Gateshead","75","!"
"Asian","Gloucestershire","66","76"
"Asian","Greenwich","80","88"
"Asian","Hackney","76","84"
"Asian","Halton","!","!"
"Asian","Hammersmith and Fulham","!","!"
"Asian","Hampshire","78","86"
"Asian","Haringey","71","89"
"Asian","Harrow","75","85"
"Asian","Hartlepool","69","80"
"Asian","Havering","79","84"
"Asian","Herefordshire, County of","!","!"
"Asian","Hertfordshire","74","87"
"Asian","Hillingdon","71","85"
"Asian","Hounslow","71","87"
"Asian","Isle of Wight","!","!"
"Asian","Isles of Scilly","!","!"
"Asian","Islington","60","80"
"Asian","Kensington and Chelsea","!","57"
"Asian","Kent","71","85"
"Asian","Kingston upon Hull, City of","64","80"
"Asian","Kingston upon Thames","76","83"
"Asian","Kirklees","59","72"
"Asian","Knowsley","53","!"
"Asian","Lambeth","72","90"
"Asian","Lancashire","59","76"
"Asian","Leeds","55","67"
"Asian","Leicester","67","75"
"Asian","Leicestershire","73","85"
"Asian","Lewisham","70","81"
"Asian","Lincolnshire","!","!"
"Asian","Liverpool","48","66"
"Asian","Luton","58","72"
"Asian","Manchester","57","71"
"Asian","Medway","71","96"
"Asian","Merton","68","83"
"Asian","Middlesbrough","56","74"
"Asian","Milton Keynes","71","88"
"Asian","Newcastle upon Tyne","60","69"
"Asian","Newham","71","80"
"Asian","Norfolk","77","83"
"Asian","North East Lincolnshire","!","!"
"Asian","North Lincolnshire","82","85"
"Asian","North Somerset","!","!"
"Asian","North Tyneside","48","64"
"Asian","North Yorkshire","72","77"
"Asian","Northamptonshire","62","82"
"Asian","Northumberland","!","!"
"Asian","Nottingham","61","73"
"Asian","Nottinghamshire","64","78"
"Asian","Oldham","52","64"
"Asian","Oxfordshire","59","74"
"Asian","Peterborough","57","74"
"Asian","Plymouth","68","79"
"Asian","Poole","73","!"
"Asian","Portsmouth","62","74"
"Asian","Reading","70","77"
"Asian","Redbridge","70","84"
"Asian","Redcar and Cleveland","!","!"
"Asian","Richmond upon Thames","73","85"
"Asian","Rochdale","58","75"
"Asian","Rotherham","65","76"
"Asian","Rutland","!","!"
"Asian","Salford","78","80"
"Asian","Sandwell","63","76"
"Asian","Sefton","71","!"
"Asian","Sheffield","63","75"
"Asian","Shropshire","!","!"
"Asian","Slough","71","86"
"Asian","Solihull","72","78"
"Asian","Somerset","76","81"
"Asian","South Gloucestershire","85","82"
"Asian","South Tyneside","69","!"
"Asian","Southampton","69","81"
"Asian","Southend-on-Sea","73","84"
"Asian","Southwark","62","82"
"Asian","St. Helens","!","!"
"Asian","Staffordshire","76","82"
"Asian","Stockport","60","73"
"Asian","Stockton-on-Tees","72","81"
"Asian","Stoke-on-Trent","61","74"
"Asian","Suffolk","72","83"
"Asian","Sunderland","67","78"
"Asian","Surrey","68","84"
"Asian","Sutton","79","89"
"Asian","Swindon","68","78"
"Asian","Tameside","59","72"
"Asian","Telford and Wrekin","61","85"
"Asian","Thurrock","74","87"
"Asian","Torbay","!","!"
"Asian","Tower Hamlets","67","81"
"Asian","Trafford","71","77"
"Asian","Wakefield","60","65"
"Asian","Walsall","62","77"
"Asian","Waltham Forest","77","86"
"Asian","Wandsworth","75","82"
"Asian","Warrington","74","82"
"Asian","Warwickshire","69","81"
"Asian","West Berkshire","82","86"
"Asian","West Sussex","54","68"
"Asian","Westminster","60","73"
"Asian","Wigan","69","84"
"Asian","Wiltshire","75","79"
"Asian","Windsor and Maidenhead","77","81"
"Asian","Wirral","58","77"
"Asian","Wokingham","83","83"
"Asian","Wolverhampton","67","78"
"Asian","Worcestershire","67","73"
"Asian","York","65","75"
"Black","Barking and Dagenham","68","82"
"Black","Barnet","62","74"
"Black","Barnsley","!","!"
"Black","Bath and North East Somerset","!","!"
"Black","Bedford","!","!"
"Black","Bexley","79","89"
"Black","Birmingham","62","72"
"Black","Blackburn with Darwen","64","!"
"Black","Blackpool","!","!"
"Black","Bolton","48","64"
"Black","Bournemouth","!","!"
"Black","Bracknell Forest","55","!"
"Black","Bradford","!","!"
"Black","Brent","61","76"
"Black","Brighton and Hove","71","71"
"Black","Bristol, City of","50","61"
"Black","Bromley","70","87"
"Black","Buckinghamshire","56","66"
"Black","Bury","68","69"
"Black","Calderdale","!","!"
"Black","Cambridgeshire","56","65"
"Black","Camden","61","77"
"Black","Central Bedfordshire","74","87"
"Black","Cheshire East","!","!"
"Black","Cheshire West and Chester","!","!"
"Black","City of London","!","!"
"Black","Cornwall","N/A","!"
"Black","County Durham","!","!"
"Black","Coventry","58","76"
"Black","Croydon","61","74"
"Black","Cumbria","!","!"
"Black","Darlington","!","!"
"Black","Derby","58","79"
"Black","Derbyshire","50","79"
"Black","Devon","!","!"
"Black","Doncaster","67","83"
"Black","Dorset","!","!"
"Black","Dudley","57","74"
"Black","Ealing","53","70"
"Black","East Riding of Yorkshire","!","!"
"Black","East Sussex","!","!"
"Black","Enfield","61","74"
"Black","Essex","75","84"
"Black","Gateshead","50","65"
"Black","Gloucestershire","65","71"
"Black","Greenwich","75","87"
"Black","Hackney","69","81"
"Black","Halton","N/A","N/A"
"Black","Hammersmith and Fulham","61","76"
"Black","Hampshire","71","84"
"Black","Haringey","67","80"
"Black","Harrow","53","72"
"Black","Hartlepool","!","!"
"Black","Havering","70","85"
"Black","Herefordshire, County of","!","!"
"Black","Hertfordshire","61","79"
"Black","Hillingdon","62","78"
"Black","Hounslow","62","81"
"Black","Isle of Wight","!","!"
"Black","Isles of Scilly","!","!"
"Black","Islington","64","74"
"Black","Kensington and Chelsea","68","81"
"Black","Kent","77","90"
"Black","Kingston upon Hull, City of","39","50"
"Black","Kingston upon Thames","62","71"
"Black","Kirklees","52","73"
"Black","Knowsley","!","!"
"Black","Lambeth","63","79"
"Black","Lancashire","65","73"
"Black","Leeds","46","62"
"Black","Leicester","61","74"
"Black","Leicestershire","46","85"
"Black","Lewisham","70","76"
"Black","Lincolnshire","64","53"
"Black","Liverpool","50","65"
"Black","Luton","65","76"
"Black","Manchester","63","78"
"Black","Medway","76","91"
"Black","Merton","65","76"
"Black","Middlesbrough","!","83"
"Black","Milton Keynes","69","78"
"Black","Newcastle upon Tyne","65","84"
"Black","Newham","68","81"
"Black","Norfolk","58","77"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","!","!"
"Black","North Somerset","!","!"
"Black","North Tyneside","!","!"
"Black","North Yorkshire","!","73"
"Black","Northamptonshire","62","79"
"Black","Northumberland","N/A","!"
"Black","Nottingham","63","73"
"Black","Nottinghamshire","61","80"
"Black","Oldham","56","61"
"Black","Oxfordshire","65","73"
"Black","Peterborough","61","72"
"Black","Plymouth","!","!"
"Black","Poole","!","!"
"Black","Portsmouth","62","79"
"Black","Reading","65","76"
"Black","Redbridge","58","73"
"Black","Redcar and Cleveland","!","N/A"
"Black","Richmond upon Thames","64","69"
"Black","Rochdale","64","69"
"Black","Rotherham","67","73"
"Black","Rutland","!","!"
"Black","Salford","71","78"
"Black","Sandwell","58","75"
"Black","Sefton","!","!"
"Black","Sheffield","62","75"
"Black","Shropshire","!","!"
"Black","Slough","!","!"
"Black","Solihull","72","!"
"Black","Somerset","!","!"
"Black","South Gloucestershire","81","59"
"Black","South Tyneside","!","!"
"Black","Southampton","63","84"
"Black","Southend-on-Sea","74","77"
"Black","Southwark","69","82"
"Black","St. Helens","!","!"
"Black","Staffordshire","68","78"
"Black","Stockport","60","81"
"Black","Stockton-on-Tees","!","!"
"Black","Stoke-on-Trent","56","70"
"Black","Suffolk","62","76"
"Black","Sunderland","!","!"
"Black","Surrey","64","78"
"Black","Sutton","79","78"
"Black","Swindon","75","76"
"Black","Tameside","66","68"
"Black","Telford and Wrekin","71","80"
"Black","Thurrock","69","89"
"Black","Torbay","!","N/A"
"Black","Tower Hamlets","66","81"
"Black","Trafford","63","71"
"Black","Wakefield","52","70"
"Black","Walsall","65","75"
"Black","Waltham Forest","66","84"
"Black","Wandsworth","64","74"
"Black","Warrington","!","!"
"Black","Warwickshire","79","70"
"Black","West Berkshire","!","!"
"Black","West Sussex","59","62"
"Black","Westminster","64","80"
"Black","Wigan","64","!"
"Black","Wiltshire","68","78"
"Black","Windsor and Maidenhead","!","!"
"Black","Wirral","!","!"
"Black","Wokingham","59","73"
"Black","Wolverhampton","63","79"
"Black","Worcestershire","60","67"
"Black","York","!","!"
"Chinese","Barking and Dagenham","!","!"
"Chinese","Barnet","73","!"
"Chinese","Barnsley","!","N/A"
"Chinese","Bath and North East Somerset","!","!"
"Chinese","Bedford","!","!"
"Chinese","Bexley","72","100"
"Chinese","Birmingham","79","84"
"Chinese","Blackburn with Darwen","N/A","!"
"Chinese","Blackpool","!","!"
"Chinese","Bolton","!","!"
"Chinese","Bournemouth","!","!"
"Chinese","Bracknell Forest","N/A","!"
"Chinese","Bradford","!","!"
"Chinese","Brent","!","!"
"Chinese","Brighton and Hove","!","!"
"Chinese","Bristol, City of","!","!"
"Chinese","Bromley","76","84"
"Chinese","Buckinghamshire","!","100"
"Chinese","Bury","!","!"
"Chinese","Calderdale","!","!"
"Chinese","Cambridgeshire","81","!"
"Chinese","Camden","!","!"
"Chinese","Central Bedfordshire","100","100"
"Chinese","Cheshire East","!","!"
"Chinese","Cheshire West and Chester","50","50"
"Chinese","City of London","!","!"
"Chinese","Cornwall","!","!"
"Chinese","County Durham","!","!"
"Chinese","Coventry","73","77"
"Chinese","Croydon","!","!"
"Chinese","Cumbria","!","!"
"Chinese","Darlington","!","!"
"Chinese","Derby","62","77"
"Chinese","Derbyshire","73","77"
"Chinese","Devon","!","!"
"Chinese","Doncaster","!","!"
"Chinese","Dorset","!","!"
"Chinese","Dudley","!","!"
"Chinese","Ealing","!","!"
"Chinese","East Riding of Yorkshire","N/A","!"
"Chinese","East Sussex","!","!"
"Chinese","Enfield","!","!"
"Chinese","Essex","82","92"
"Chinese","Gateshead","!","!"
"Chinese","Gloucestershire","!","!"
"Chinese","Greenwich","85","100"
"Chinese","Hackney","!","!"
"Chinese","Halton","!","N/A"
"Chinese","Hammersmith and Fulham","!","!"
"Chinese","Hampshire","70","87"
"Chinese","Haringey","!","!"
"Chinese","Harrow","!","100"
"Chinese","Hartlepool","!","!"
"Chinese","Havering","100","100"
"Chinese","Herefordshire, County of","!","N/A"
"Chinese","Hertfordshire","!","!"
"Chinese","Hillingdon","!","!"
"Chinese","Hounslow","!","!"
"Chinese","Isle of Wight","!","!"
"Chinese","Isles of Scilly","!","!"
"Chinese","Islington","!","!"
"Chinese","Kensington and Chelsea","!","N/A"
"Chinese","Kent","88","!"
"Chinese","Kingston upon Hull, City of","!","!"
"Chinese","Kingston upon Thames","79","!"
"Chinese","Kirklees","!","!"
"Chinese","Knowsley","!","!"
"Chinese","Lambeth","!","100"
"Chinese","Lancashire","75","82"
"Chinese","Leeds","82","90"
"Chinese","Leicester","56","100"
"Chinese","Leicestershire","!","100"
"Chinese","Lewisham","78","81"
"Chinese","Lincolnshire","60","!"
"Chinese","Liverpool","60","81"
"Chinese","Luton","!","!"
"Chinese","Manchester","73","80"
"Chinese","Medway","!","!"
"Chinese","Merton","!","!"
"Chinese","Middlesbrough","!","!"
"Chinese","Milton Keynes","!","!"
"Chinese","Newcastle upon Tyne","75","81"
"Chinese","Newham","!","!"
"Chinese","Norfolk","!","!"
"Chinese","North East Lincolnshire","!","!"
"Chinese","North Lincolnshire","!","!"
"Chinese","North Somerset","!","!"
"Chinese","North Tyneside","!","!"
"Chinese","North Yorkshire","!","!"
"Chinese","Northamptonshire","!","!"
"Chinese","Northumberland","!","!"
"Chinese","Nottingham","100","!"
"Chinese","Nottinghamshire","72","79"
"Chinese","Oldham","100","100"
"Chinese","Oxfordshire","!","100"
"Chinese","Peterborough","!","!"
"Chinese","Plymouth","!","!"
"Chinese","Poole","!","!"
"Chinese","Portsmouth","!","100"
"Chinese","Reading","!","100"
"Chinese","Redbridge","!","!"
"Chinese","Redcar and Cleveland","N/A","N/A"
"Chinese","Richmond upon Thames","67","82"
"Chinese","Rochdale","!","!"
"Chinese","Rotherham","!","!"
"Chinese","Rutland","N/A","N/A"
"Chinese","Salford","!","!"
"Chinese","Sandwell","!","100"
"Chinese","Sefton","!","100"
"Chinese","Sheffield","75","80"
"Chinese","Shropshire","!","!"
"Chinese","Slough","!","!"
"Chinese","Solihull","!","!"
"Chinese","Somerset","!","!"
"Chinese","South Gloucestershire","!","100"
"Chinese","South Tyneside","!","!"
"Chinese","Southampton","!","!"
"Chinese","Southend-on-Sea","!","!"
"Chinese","Southwark","73","!"
"Chinese","St. Helens","!","!"
"Chinese","Staffordshire","!","!"
"Chinese","Stockport","64","!"
"Chinese","Stockton-on-Tees","!","!"
"Chinese","Stoke-on-Trent","!","!"
"Chinese","Suffolk","!","!"
"Chinese","Sunderland","!","!"
"Chinese","Surrey","74","77"
"Chinese","Sutton","!","!"
"Chinese","Swindon","!","!"
"Chinese","Tameside","!","!"
"Chinese","Telford and Wrekin","!","!"
"Chinese","Thurrock","!","!"
"Chinese","Torbay","!","!"
"Chinese","Tower Hamlets","!","!"
"Chinese","Trafford","80","!"
"Chinese","Wakefield","!","!"
"Chinese","Walsall","!","!"
"Chinese","Waltham Forest","!","!"
"Chinese","Wandsworth","!","!"
"Chinese","Warrington","!","!"
"Chinese","Warwickshire","!","!"
"Chinese","West Berkshire","!","!"
"Chinese","West Sussex","!","!"
"Chinese","Westminster","!","100"
"Chinese","Wigan","!","!"
"Chinese","Wiltshire","!","!"
"Chinese","Windsor and Maidenhead","!","!"
"Chinese","Wirral","!","100"
"Chinese","Wokingham","100","100"
"Chinese","Wolverhampton","!","!"
"Chinese","Worcestershire","100","!"
"Chinese","York","!","!"
"Mixed","Barking and Dagenham","59","77"
"Mixed","Barnet","65","80"
"Mixed","Barnsley","59","71"
"Mixed","Bath and North East Somerset","55","79"
"Mixed","Bedford","57","74"
"Mixed","Bexley","64","80"
"Mixed","Birmingham","58","74"
"Mixed","Blackburn with Darwen","67","80"
"Mixed","Blackpool","67","77"
"Mixed","Bolton","69","79"
"Mixed","Bournemouth","73","82"
"Mixed","Bracknell Forest","70","70"
"Mixed","Bradford","53","74"
"Mixed","Brent","!","!"
"Mixed","Brighton and Hove","60","72"
"Mixed","Bristol, City of","57","69"
"Mixed","Bromley","70","79"
"Mixed","Buckinghamshire","62","77"
"Mixed","Bury","60","67"
"Mixed","Calderdale","57","73"
"Mixed","Cambridgeshire","67","71"
"Mixed","Camden","67","79"
"Mixed","Central Bedfordshire","71","81"
"Mixed","Cheshire East","56","76"
"Mixed","Cheshire West and Chester","63","82"
"Mixed","City of London","!","!"
"Mixed","Cornwall","60","74"
"Mixed","County Durham","58","82"
"Mixed","Coventry","58","76"
"Mixed","Croydon","62","76"
"Mixed","Cumbria","60","76"
"Mixed","Darlington","!","!"
"Mixed","Derby","52","61"
"Mixed","Derbyshire","59","81"
"Mixed","Devon","71","81"
"Mixed","Doncaster","54","68"
"Mixed","Dorset","58","80"
"Mixed","Dudley","54","64"
"Mixed","Ealing","65","75"
"Mixed","East Riding of Yorkshire","60","93"
"Mixed","East Sussex","68","80"
"Mixed","Enfield","63","76"
"Mixed","Essex","68","79"
"Mixed","Gateshead","69","81"
"Mixed","Gloucestershire","58","81"
"Mixed","Greenwich","72","85"
"Mixed","Hackney","73","87"
"Mixed","Halton","47","!"
"Mixed","Hammersmith and Fulham","66","80"
"Mixed","Hampshire","75","86"
"Mixed","Haringey","75","86"
"Mixed","Harrow","70","84"
"Mixed","Hartlepool","!","!"
"Mixed","Havering","68","78"
"Mixed","Herefordshire, County of","50","90"
"Mixed","Hertfordshire","66","82"
"Mixed","Hillingdon","65","78"
"Mixed","Hounslow","73","78"
"Mixed","Isle of Wight","57","83"
"Mixed","Isles of Scilly","!","!"
"Mixed","Islington","63","83"
"Mixed","Kensington and Chelsea","77","75"
"Mixed","Kent","67","85"
"Mixed","Kingston upon Hull, City of","63","72"
"Mixed","Kingston upon Thames","64","79"
"Mixed","Kirklees","51","71"
"Mixed","Knowsley","46","58"
