"Title","Writing attainments for children aged 5 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/1/17"

"Ethnicity","Local authority","Boys","Girls"
"All","Bedford","59","71"
"All","Cambridgeshire","56","70"
"All","Central Bedfordshire","62","76"
"All","Essex","60","76"
"All","Hertfordshire","65","78"
"All","Luton","55","69"
"All","Norfolk","62","77"
"All","Peterborough","52","70"
"All","Southend-on-Sea","60","78"
"All","Suffolk","56","71"
"All","Thurrock","63","74"
"All","Derby","48","61"
"All","Derbyshire","58","73"
"All","Leicester","52","67"
"All","Leicestershire","57","72"
"All","Lincolnshire","56","72"
"All","Northamptonshire","57","70"
"All","Nottingham","52","65"
"All","Nottinghamshire","56","72"
"All","Rutland","63","76"
"All","Barking and Dagenham","62","75"
"All","Barnet","63","74"
"All","Bexley","70","80"
"All","Brent","64","73"
"All","Bromley","65","79"
"All","Camden","61","72"
"All","City of London","!","!"
"All","Croydon","62","75"
"All","Ealing","55","69"
"All","Enfield","60","72"
"All","Greenwich","70","82"
"All","Hackney","73","83"
"All","Hammersmith and Fulham","66","75"
"All","Haringey","69","80"
"All","Harrow","63","79"
"All","Havering","63","78"
"All","Hillingdon","59","74"
"All","Hounslow","69","79"
"All","Islington","65","72"
"All","Kensington and Chelsea","72","79"
"All","Kingston upon Thames","59","71"
"All","Lambeth","66","78"
"All","Lewisham","67","79"
"All","Merton","57","70"
"All","Newham","69","81"
"All","Redbridge","62","74"
"All","Richmond upon Thames","61","76"
"All","Southwark","65","76"
"All","Sutton","61","76"
"All","Tower Hamlets","63","77"
"All","Waltham Forest","69","80"
"All","Wandsworth","72","81"
"All","Westminster","64","75"
"All","County Durham","63","77"
"All","Darlington","62","74"
"All","Gateshead","62","76"
"All","Hartlepool","57","74"
"All","Middlesbrough","49","66"
"All","Newcastle upon Tyne","61","73"
"All","North Tyneside","61","76"
"All","Northumberland","64","77"
"All","Redcar and Cleveland","64","79"
"All","South Tyneside","66","78"
"All","Stockton-on-Tees","60","77"
"All","Sunderland","62","78"
"All","Blackburn with Darwen","59","75"
"All","Blackpool","61","72"
"All","Bolton","58","71"
"All","Bury","57","70"
"All","Cheshire East","50","66"
"All","Cheshire West and Chester","50","68"
"All","Cumbria","50","64"
"All","Halton","46","61"
"All","Knowsley","50","66"
"All","Lancashire","59","74"
"All","Liverpool","45","61"
"All","Manchester","57","70"
"All","Oldham","52","66"
"All","Rochdale","52","70"
"All","Salford","61","74"
"All","Sefton","54","71"
"All","St. Helens","50","65"
"All","Stockport","62","74"
"All","Tameside","56","71"
"All","Trafford","61","77"
"All","Warrington","64","78"
"All","Wigan","59","75"
"All","Wirral","54","71"
"All","Bracknell Forest","63","74"
"All","Brighton and Hove","60","73"
"All","Buckinghamshire","58","73"
"All","East Sussex","62","76"
"All","Hampshire","63","78"
"All","Isle of Wight","62","75"
"All","Kent","65","78"
"All","Medway","63","73"
"All","Milton Keynes","57","72"
"All","Oxfordshire","54","69"
"All","Portsmouth","55","71"
"All","Reading","58","72"
"All","Slough","61","75"
"All","Southampton","61","76"
"All","Surrey","62","77"
"All","West Berkshire","59","72"
"All","West Sussex","44","62"
"All","Windsor and Maidenhead","66","78"
"All","Wokingham","63","76"
"All","Bath and North East Somerset","58","71"
"All","Bournemouth","55","68"
"All","Bristol, City of","54","70"
"All","Cornwall","57","73"
"All","Devon","55","71"
"All","Dorset","53","69"
"All","Gloucestershire","55","68"
"All","Isles of Scilly","!","!"
"All","North Somerset","60","76"
"All","Plymouth","55","70"
"All","Poole","63","73"
"All","Somerset","60","74"
"All","South Gloucestershire","62","72"
"All","Swindon","53","73"
"All","Torbay","57","74"
"All","Wiltshire","57","70"
"All","Birmingham","54","68"
"All","Coventry","55","70"
"All","Dudley","57","73"
"All","Herefordshire, County of","61","75"
"All","Sandwell","51","67"
"All","Shropshire","54","71"
"All","Solihull","64","77"
"All","Staffordshire","60","76"
"All","Stoke-on-Trent","53","69"
"All","Telford and Wrekin","61","76"
"All","Walsall","55","69"
"All","Warwickshire","60","75"
"All","Wolverhampton","55","69"
"All","Worcestershire","54","69"
"All","Barnsley","55","73"
"All","Bradford","57","71"
"All","Calderdale","46","63"
"All","Doncaster","57","71"
"All","East Riding of Yorkshire","60","75"
"All","Kingston upon Hull, City of","59","71"
"All","Kirklees","56","70"
"All","Leeds","48","61"
"All","North East Lincolnshire","61","76"
"All","North Lincolnshire","66","79"
"All","North Yorkshire","56","71"
"All","Rotherham","58","73"
"All","Sheffield","57","73"
"All","Wakefield","54","71"
"All","York","57","70"
"Asian","Bedford","58","75"
"Asian","Cambridgeshire","63","70"
"Asian","Central Bedfordshire","77","88"
"Asian","Essex","73","84"
"Asian","Hertfordshire","70","83"
"Asian","Luton","56","71"
"Asian","Norfolk","73","88"
"Asian","Peterborough","53","73"
"Asian","Southend-on-Sea","69","80"
"Asian","Suffolk","68","70"
"Asian","Thurrock","68","84"
"Asian","Derby","57","71"
"Asian","Derbyshire","76","77"
"Asian","Leicester","60","73"
"Asian","Leicestershire","70","79"
"Asian","Lincolnshire","!","!"
"Asian","Northamptonshire","68","80"
"Asian","Nottingham","58","71"
"Asian","Nottinghamshire","54","66"
"Asian","Rutland","!","100"
"Asian","Barking and Dagenham","70","83"
"Asian","Barnet","74","82"
"Asian","Bexley","86","93"
"Asian","Brent","72","77"
"Asian","Bromley","80","89"
"Asian","Camden","58","72"
"Asian","City of London","!","!"
"Asian","Croydon","72","87"
"Asian","Ealing","59","72"
"Asian","Enfield","77","85"
"Asian","Greenwich","83","89"
"Asian","Hackney","78","82"
"Asian","Hammersmith and Fulham","72","73"
"Asian","Haringey","75","88"
"Asian","Harrow","74","87"
"Asian","Havering","67","91"
"Asian","Hillingdon","67","81"
"Asian","Hounslow","78","87"
"Asian","Islington","65","75"
"Asian","Kensington and Chelsea","!","!"
"Asian","Kingston upon Thames","67","72"
"Asian","Lambeth","63","84"
"Asian","Lewisham","74","79"
"Asian","Merton","68","73"
"Asian","Newham","74","85"
"Asian","Redbridge","69","78"
"Asian","Richmond upon Thames","67","77"
"Asian","Southwark","75","79"
"Asian","Sutton","74","85"
"Asian","Tower Hamlets","64","79"
"Asian","Waltham Forest","72","82"
"Asian","Wandsworth","74","87"
"Asian","Westminster","69","79"
"Asian","County Durham","82","81"
"Asian","Darlington","41","71"
"Asian","Gateshead","68","68"
"Asian","Hartlepool","68","56"
"Asian","Middlesbrough","53","66"
"Asian","Newcastle upon Tyne","61","74"
"Asian","North Tyneside","74","85"
"Asian","Northumberland","73","85"
"Asian","Redcar and Cleveland","!","!"
"Asian","South Tyneside","79","72"
"Asian","Stockton-on-Tees","66","85"
"Asian","Sunderland","61","81"
"Asian","Blackburn with Darwen","60","77"
"Asian","Blackpool","57","53"
"Asian","Bolton","63","75"
"Asian","Bury","59","68"
"Asian","Cheshire East","59","68"
"Asian","Cheshire West and Chester","51","87"
"Asian","Cumbria","80","74"
"Asian","Halton","!","!"
"Asian","Knowsley","78","100"
"Asian","Lancashire","63","72"
"Asian","Liverpool","55","63"
"Asian","Manchester","56","70"
"Asian","Oldham","47","64"
"Asian","Rochdale","48","63"
"Asian","Salford","68","77"
"Asian","Sefton","60","81"
"Asian","St. Helens","!","!"
"Asian","Stockport","73","76"
"Asian","Tameside","56","68"
"Asian","Trafford","60","76"
"Asian","Warrington","60","86"
"Asian","Wigan","69","73"
"Asian","Wirral","76","77"
"Asian","Bracknell Forest","79","88"
"Asian","Brighton and Hove","71","70"
"Asian","Buckinghamshire","56","67"
"Asian","East Sussex","69","85"
"Asian","Hampshire","75","79"
"Asian","Isle of Wight","!","100"
"Asian","Kent","76","85"
"Asian","Medway","77","75"
"Asian","Milton Keynes","65","80"
"Asian","Oxfordshire","48","64"
"Asian","Portsmouth","56","70"
"Asian","Reading","62","78"
"Asian","Slough","69","83"
"Asian","Southampton","66","80"
"Asian","Surrey","71","79"
"Asian","West Berkshire","!","!"
"Asian","West Sussex","58","70"
"Asian","Windsor and Maidenhead","65","81"
"Asian","Wokingham","73","85"
"Asian","Bath and North East Somerset","69","75"
"Asian","Bournemouth","62","73"
"Asian","Bristol, City of","60","67"
"Asian","Cornwall","!","!"
"Asian","Devon","56","73"
"Asian","Dorset","61","75"
"Asian","Gloucestershire","56","74"
"Asian","Isles of Scilly","!","!"
"Asian","North Somerset","!","!"
"Asian","Plymouth","!","!"
"Asian","Poole","77","81"
"Asian","Somerset","60","72"
"Asian","South Gloucestershire","67","82"
"Asian","Swindon","62","81"
"Asian","Torbay","!","!"
"Asian","Wiltshire","71","76"
"Asian","Birmingham","57","70"
"Asian","Coventry","65","78"
"Asian","Dudley","59","68"
"Asian","Herefordshire, County of","!","!"
"Asian","Sandwell","58","75"
"Asian","Shropshire","!","!"
"Asian","Solihull","69","78"
"Asian","Staffordshire","68","78"
"Asian","Stoke-on-Trent","53","72"
"Asian","Telford and Wrekin","60","79"
"Asian","Walsall","61","76"
"Asian","Warwickshire","73","86"
"Asian","Wolverhampton","60","74"
"Asian","Worcestershire","49","59"
"Asian","Barnsley","30","57"
"Asian","Bradford","61","75"
"Asian","Calderdale","41","54"
"Asian","Doncaster","55","67"
"Asian","East Riding of Yorkshire","!","!"
"Asian","Kingston upon Hull, City of","76","75"
"Asian","Kirklees","57","73"
"Asian","Leeds","52","61"
"Asian","North East Lincolnshire","!","!"
"Asian","North Lincolnshire","79","89"
"Asian","North Yorkshire","62","90"
"Asian","Rotherham","59","79"
"Asian","Sheffield","55","74"
"Asian","Wakefield","45","72"
"Asian","York","55","58"
"Black","Bedford","62","78"
"Black","Cambridgeshire","57","71"
"Black","Central Bedfordshire","68","80"
"Black","Essex","66","80"
"Black","Hertfordshire","68","79"
"Black","Luton","62","72"
"Black","Norfolk","72","73"
"Black","Peterborough","54","79"
"Black","Southend-on-Sea","63","74"
"Black","Suffolk","47","69"
"Black","Thurrock","71","86"
"Black","Derby","52","75"
"Black","Derbyshire","!","!"
"Black","Leicester","53","72"
"Black","Leicestershire","59","80"
"Black","Lincolnshire","!","!"
"Black","Northamptonshire","56","74"
"Black","Nottingham","57","75"
"Black","Nottinghamshire","40","82"
"Black","Rutland","!","!"
"Black","Barking and Dagenham","68","82"
"Black","Barnet","60","72"
"Black","Bexley","81","86"
"Black","Brent","63","73"
"Black","Bromley","66","84"
"Black","Camden","58","71"
"Black","City of London","!","!"
"Black","Croydon","60","75"
"Black","Ealing","50","63"
"Black","Enfield","59","73"
"Black","Greenwich","76","85"
"Black","Hackney","71","83"
"Black","Hammersmith and Fulham","63","73"
"Black","Haringey","70","82"
"Black","Harrow","53","74"
"Black","Havering","65","86"
"Black","Hillingdon","62","73"
"Black","Hounslow","61","75"
"Black","Islington","61","69"
"Black","Kensington and Chelsea","72","79"
"Black","Kingston upon Thames","53","66"
"Black","Lambeth","64","76"
"Black","Lewisham","65","78"
"Black","Merton","54","72"
"Black","Newham","71","83"
"Black","Redbridge","60","67"
"Black","Richmond upon Thames","50","76"
"Black","Southwark","65","78"
"Black","Sutton","69","74"
"Black","Tower Hamlets","65","74"
"Black","Waltham Forest","63","83"
"Black","Wandsworth","64","78"
"Black","Westminster","79","78"
"Black","County Durham","!","!"
"Black","Darlington","!","100"
"Black","Gateshead","56","76"
"Black","Hartlepool","!","!"
"Black","Middlesbrough","69","81"
"Black","Newcastle upon Tyne","64","72"
"Black","North Tyneside","!","!"
"Black","Northumberland","!","!"
