"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Gender","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Rutland","E06000017","All","70","%","407"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Rutland","E06000017","All","72","%","424"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derbyshire","E10000007","All","68","%","8606"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicester","E06000016","All","59","%","4606"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Lincolnshire","E10000019","All","64","%","7964"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Lambeth","E09000022","All","73","%","3177"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Westminster","E09000033","All","70","%","1525"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Haringey","E09000014","All","74","%","3186"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Newham","E09000025","All","75","%","4844"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Hammersmith and Fulham","E09000013","All","72","%","1472"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Tower Hamlets","E09000030","All","72","%","3447"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Kensington and Chelsea","E09000020","All","75","%","1008"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Hounslow","E09000018","All","74","%","3433"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Ealing","E09000009","All","68","%","4608"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Havering","E09000016","All","70","%","3159"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Hackney","E09000012","All","77","%","2763"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Croydon","E09000008","All","69","%","4753"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Bexley","E09000004","All","75","%","3145"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Lambeth","E09000022","All","72","%","3195"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Havering","E09000016","All","71","%","3071"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Bexley","E09000004","All","75","%","3314"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Tower Hamlets","E09000030","All","70","%","3351"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Redbridge","E09000026","All","71","%","4226"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Sutton","E09000029","All","68","%","2521"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Hammersmith and Fulham","E09000013","All","70","%","1494"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Bromley","E09000006","All","72","%","3838"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Bromley","E09000006","All","74","%","4053"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Hounslow","E09000018","All","74","%","3359"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Redbridge","E09000026","All","68","%","4057"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Ealing","E09000009","All","62","%","4537"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Greenwich","E09000011","All","76","%","3597"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Barking and Dagenham","E09000002","All","68","%","3643"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Camden","E09000007","All","67","%","1628"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Islington","E09000019","All","69","%","2033"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Hillingdon","E09000017","All","66","%","4178"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Kingston upon Thames","E09000021","All","71","%","1957"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Brent","E09000005","All","68","%","3936"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Richmond upon Thames","E09000027","All","68","%","2442"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Newham","E09000025","All","73","%","4916"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Camden","E09000007","All","66","%","1633"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Barnet","E09000003","All","68","%","4275"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Greenwich","E09000011","All","76","%","3459"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Lewisham","E09000023","All","73","%","3747"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Haringey","E09000014","All","74","%","3138"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Merton","E09000024","All","64","%","2489"
