"","All","Children","Working-age adults","Pensioners"
"Ethnicity","%","%","%","%"
"Asian","18","25","14","14"
"Black","16","20","14","9"
"Mixed","10","11","10","?"
"White British","9","10","7","12"
"White other","8","8","6","15"
"Other","20","27","17","?"
