"","White British","","","Other than White British","",""
"Socio-economic group","%","Overcrowded households ('000s)","All households ('000s)","%","Overcrowded households ('000s)","All households ('000s)"
"Higher managerial, administrative and professional occupations","1","61","7,652","6","86","1,467"
"Intermediate occupations","1","56","3,887","10","76","740"
"Routine and manual occupations","3","157","6,195","12","156","1,346"
