"Title","Overcrowded households by ethnicity and socio-economic group"
"Location","England"
"Time period","2014/15, 2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","Socio-economic group","%","Overcrowded households ('000s)","All households ('000s)"
"White British","Higher managerial, administrative and professional occupations","1","61","7,652"
"White British","Intermediate occupations","1","56","3,887"
"White British","Routine and manual occupations","3","157","6,195"
"Other than White British","Higher managerial, administrative and professional occupations","6","86","1,467"
"Other than White British","Intermediate occupations","10","76","740"
"Other than White British","Routine and manual occupations","12","156","1,346"
