"Title","Life satisfaction by ethnicity"
"Location","UK"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"Ethnicity","Average score"
"All","7.69"
"Arab","7.39"
"Bangladeshi","7.51"
"Chinese","7.68"
"Indian","7.80"
"Pakistani","7.73"
"Asian other","7.69"
"Black","7.24"
"Mixed","7.42"
"White","7.71"
"White Gypsy/Traveller","?"
"Other","7.59"
