"","Higher managerial and professional","Lower managerial and professional","Intermediate occupations","Small employers and own account workers","Lower supervisory and technical","Semi-routine occupations","Routine occupations","Never worked, unemployed, and nec"
"","","","","","","","",""
"All","7.86","7.79","7.69","7.70","7.67","7.49","7.47","7.53"
"Arab","7.68","7.63","?","7.17","?","7.24","?","7.52"
"Bangladeshi","7.99","7.44","7.38","7.82","7.93","7.21","7.45","7.65"
"Chinese","7.69","7.49","7.44","7.72","?","7.35","?","7.78"
"Indian","7.78","7.78","7.63","7.75","7.66","7.57","7.68","7.71"
"Pakistani","7.79","7.69","7.71","7.57","7.70","7.55","7.16","7.57"
"Asian other","7.86","7.66","7.59","7.48","6.97","7.67","7.35","7.61"
"Black","7.50","7.20","7.10","7.20","7.03","7.05","7.10","7.20"
"Mixed","7.66","7.49","7.49","7.24","7.42","7.05","7.13","7.19"
"White","7.88","7.82","7.72","7.72","7.69","7.52","7.49","7.54"
"White Gypsy/Traveller","?","?","?","?","?","?","?","?"
"Other","7.85","7.48","7.56","7.65","8.02","7.26","7.60","7.36"
