"","Very High (9-10)","High (7-8)","Medium (5-6)","Low (0-4)"
"","%","%","%","%"
"All","30.12","51.94","13.48","4.46"
"Arab","23.84","51.55","19.45","?"
"Bangladeshi","31.35","42.29","20.89","?"
"Chinese","21.76","64.31","11.52","?"
"Indian","31.55","51.06","14.62","2.77"
"Pakistani","34.75","43.56","18.10","3.60"
"Asian other","31.30","47.65","18.14","?"
"Black","25.18","46.43","21.07","7.32"
"Mixed","22.47","55.94","16.47","5.12"
"White","30.35","52.24","12.96","4.45"
"White Gypsy/Traveller","?","?","?","?"
"Other","28.00","52.32","15.23","4.45"
