"Title","Life satisfaction by ethnicity and gender"
"Location","UK"
"Time period","2014 to 2016 combined"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"","Female","Male"
"","",""
"All","7.67","7.62"
"Arab","7.47","7.48"
"Bangladeshi","7.67","7.54"
"Chinese","7.70","7.56"
"Indian","7.73","7.71"
"Pakistani","7.66","7.55"
"Asian other","7.61","7.57"
"Black","7.17","7.19"
"Mixed","7.35","7.34"
"White","7.69","7.64"
"White Gypsy/Traveller","?","?"
"Other","7.58","7.46"
