"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls"
"Milton Keynes","57","72","65","80","61","78","77","79","66","78","54","69"
"Oxfordshire","54","69","48","64","53","69","!","!","55","68","55","70"
"Portsmouth","55","71","56","70","57","68","100","100","57","70","54","72"
"Reading","58","72","62","78","66","71","100","!","54","63","55","73"
"Slough","61","75","69","83","59","85","!","!","60","77","53","62"
"Southampton","61","76","66","80","69","72","!","!","68","76","60","76"
"Surrey","62","77","71","79","71","84","85","82","63","83","62","76"
"West Berkshire","59","72","!","!","!","!","!","!","62","82","58","70"
"West Sussex","44","62","58","70","46","52","!","!","50","64","43","62"
"Windsor and Maidenhead","66","78","65","81","!","!","!","!","74","76","67","78"
"Wokingham","63","76","73","85","69","79","!","!","70","80","60","74"
"Bath and North East Somerset","58","71","69","75","!","!","!","!","51","73","59","70"
"Bournemouth","55","68","62","73","!","!","!","!","48","74","55","68"
"Bristol, City of","54","70","60","67","45","69","75","100","51","67","55","71"
"Cornwall","57","73","!","!","!","!","!","100","58","81","56","73"
"Devon","55","71","56","73","!","!","100","63","60","70","55","71"
"Dorset","53","69","61","75","!","!","!","!","55","79","53","68"
"Gloucestershire","55","68","56","74","56","63","!","!","55","69","55","69"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!"
"North Somerset","60","76","!","!","!","100","!","!","65","81","59","75"
"Plymouth","55","70","!","!","!","!","!","!","64","71","55","70"
"Poole","63","73","77","81","!","!","!","!","75","80","63","73"
"Somerset","60","74","60","72","!","!","!","!","61","76","60","74"
"South Gloucestershire","62","72","67","82","60","67","!","!","58","81","62","71"
"Swindon","53","73","62","81","56","86","!","!","57","82","51","71"
"Torbay","57","74","!","!","!","!","!","!","61","86","57","74"
"Wiltshire","57","70","71","76","63","81","!","!","66","78","56","70"
"Birmingham","54","68","57","70","58","71","73","92","52","70","51","67"
"Coventry","55","70","65","78","58","72","!","!","56","72","52","66"
"Dudley","57","73","59","68","70","86","!","!","63","74","56","73"
"Herefordshire, County of","61","75","!","!","!","!","!","!","72","86","61","75"
"Sandwell","51","67","58","75","54","72","!","!","50","67","49","63"
"Shropshire","54","71","!","!","!","!","!","!","49","92","54","71"
"Solihull","64","77","69","78","58","84","!","!","67","80","63","76"
"Staffordshire","60","76","68","78","38","85","!","!","58","77","60","76"
"Stoke-on-Trent","53","69","53","72","52","82","!","!","53","77","54","68"
"Telford and Wrekin","61","76","60","79","73","89","!","!","76","63","60","76"
"Walsall","55","69","61","76","69","73","!","100","54","70","54","68"
"Warwickshire","60","75","73","86","58","74","70","100","62","77","59","74"
"Wolverhampton","55","69","60","74","64","80","!","!","54","74","52","65"
"Worcestershire","54","69","49","59","63","38","!","!","52","78","55","69"
"Barnsley","55","73","30","57","67","76","!","!","66","76","56","73"
"Bradford","57","71","61","75","48","73","!","!","53","74","54","68"
"Calderdale","46","63","41","54","!","!","!","!","46","59","48","65"
"Doncaster","57","71","55","67","59","79","69","50","57","79","58","71"
"East Riding of Yorkshire","60","75","!","!","!","!","!","!","60","80","60","75"
"Kingston upon Hull, City of","59","71","76","75","42","63","!","!","73","75","58","72"
"Kirklees","56","70","57","73","56","76","!","!","55","74","56","69"
"Leeds","48","61","52","61","42","62","63","57","46","55","48","63"
"North East Lincolnshire","61","76","!","!","!","!","!","!","71","80","60","76"
"North Lincolnshire","66","79","79","89","!","!","!","!","!","!","65","79"
"North Yorkshire","56","71","62","90","25","79","!","!","50","72","56","71"
"Rotherham","58","73","59","79","52","67","!","!","49","75","58","73"
"Sheffield","57","73","55","74","63","68","!","!","55","73","57","73"
"Wakefield","54","71","45","72","59","71","!","!","59","79","55","71"
"York","57","70","55","58","!","100","!","!","55","78","58","70"
