"Title","Writing attainment for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Standard Ethnicity","Local authority",""
"All","Barking and Dagenham","68"
"All","Barnet","68"
"All","Barnsley","64"
"All","Bath and North East Somerset","64"
"All","Bedford","65"
"All","Bexley","75"
"All","Birmingham","61"
"All","Blackburn with Darwen","67"
"All","Blackpool","66"
"All","Bolton","64"
"All","Bournemouth","62"
"All","Bracknell Forest","68"
"All","Bradford","64"
"All","Brent","68"
"All","Brighton and Hove","67"
"All","Bristol, City of","62"
"All","Bromley","72"
"All","Buckinghamshire","65"
"All","Bury","63"
"All","Calderdale","54"
"All","Cambridgeshire","63"
"All","Camden","66"
"All","Central Bedfordshire","69"
"All","Cheshire East","58"
"All","Cheshire West and Chester","58"
"All","City of London","!"
"All","Cornwall","65"
"All","County Durham","70"
"All","Coventry","62"
"All","Croydon","69"
"All","Cumbria","57"
"All","Darlington","68"
"All","Derby","55"
"All","Derbyshire","65"
"All","Devon","62"
"All","Doncaster","64"
"All","Dorset","61"
"All","Dudley","65"
"All","Ealing","62"
"All","East Riding of Yorkshire","68"
"All","East Sussex","69"
"All","Enfield","66"
"All","Essex","68"
"All","Gateshead","69"
"All","Gloucestershire","61"
"All","Greenwich","76"
"All","Hackney","78"
"All","Halton","54"
"All","Hammersmith and Fulham","70"
"All","Hampshire","70"
"All","Haringey","74"
"All","Harrow","71"
"All","Hartlepool","65"
"All","Havering","70"
"All","Herefordshire, County of","68"
"All","Hertfordshire","71"
"All","Hillingdon","66"
"All","Hounslow","74"
"All","Isle of Wight","68"
"All","Isles of Scilly","!"
"All","Islington","69"
"All","Kensington and Chelsea","75"
"All","Kent","71"
"All","Kingston upon Hull, City of","65"
"All","Kingston upon Thames","65"
"All","Kirklees","63"
"All","Knowsley","58"
"All","Lambeth","72"
"All","Lancashire","67"
"All","Leeds","54"
"All","Leicester","59"
"All","Leicestershire","64"
"All","Lewisham","73"
"All","Lincolnshire","64"
"All","Liverpool","53"
"All","Luton","62"
"All","Manchester","63"
"All","Medway","68"
"All","Merton","64"
"All","Middlesbrough","57"
"All","Milton Keynes","65"
"All","Newcastle upon Tyne","67"
"All","Newham","75"
"All","Norfolk","70"
"All","North East Lincolnshire","68"
"All","North Lincolnshire","72"
"All","North Somerset","67"
"All","North Tyneside","68"
"All","North Yorkshire","63"
"All","Northamptonshire","64"
"All","Northumberland","70"
"All","Nottingham","58"
"All","Nottinghamshire","64"
"All","Oldham","59"
"All","Oxfordshire","62"
"All","Peterborough","61"
"All","Plymouth","62"
"All","Poole","68"
"All","Portsmouth","63"
"All","Reading","65"
"All","Redbridge","68"
"All","Redcar and Cleveland","71"
"All","Richmond upon Thames","68"
"All","Rochdale","61"
"All","Rotherham","65"
"All","Rutland","70"
"All","Salford","67"
"All","Sandwell","59"
"All","Sefton","63"
"All","Sheffield","65"
"All","Shropshire","62"
"All","Slough","68"
"All","Solihull","70"
"All","Somerset","67"
"All","South Gloucestershire","67"
"All","South Tyneside","72"
"All","Southampton","69"
"All","Southend-on-Sea","69"
"All","Southwark","70"
"All","St. Helens","58"
"All","Staffordshire","68"
"All","Stockport","68"
"All","Stockton-on-Tees","68"
"All","Stoke-on-Trent","61"
"All","Suffolk","64"
"All","Sunderland","70"
"All","Surrey","69"
"All","Sutton","68"
"All","Swindon","63"
"All","Tameside","63"
"All","Telford and Wrekin","68"
"All","Thurrock","68"
"All","Torbay","65"
"All","Tower Hamlets","70"
"All","Trafford","69"
"All","Wakefield","62"
"All","Walsall","62"
"All","Waltham Forest","74"
"All","Wandsworth","76"
"All","Warrington","71"
"All","Warwickshire","67"
"All","West Berkshire","65"
"All","West Sussex","53"
"All","Westminster","70"
"All","Wigan","67"
"All","Wiltshire","63"
"All","Windsor and Maidenhead","72"
"All","Wirral","62"
"All","Wokingham","69"
"All","Wolverhampton","62"
"All","Worcestershire","61"
"All","York","63"
"Asian","Barking and Dagenham","77"
"Asian","Barnet","78"
"Asian","Barnsley","41"
"Asian","Bath and North East Somerset","72"
"Asian","Bedford","66"
"Asian","Bexley","90"
"Asian","Birmingham","63"
"Asian","Blackburn with Darwen","68"
"Asian","Blackpool","55"
"Asian","Bolton","69"
"Asian","Bournemouth","67"
"Asian","Bracknell Forest","82"
"Asian","Bradford","68"
"Asian","Brent","75"
"Asian","Brighton and Hove","70"
"Asian","Bristol, City of","63"
"Asian","Bromley","84"
"Asian","Buckinghamshire","61"
"Asian","Bury","64"
"Asian","Calderdale","47"
"Asian","Cambridgeshire","66"
"Asian","Camden","64"
"Asian","Central Bedfordshire","83"
"Asian","Cheshire East","63"
"Asian","Cheshire West and Chester","68"
"Asian","City of London","!"
"Asian","Cornwall","78"
"Asian","County Durham","82"
"Asian","Coventry","72"
"Asian","Croydon","79"
"Asian","Cumbria","77"
"Asian","Darlington","58"
"Asian","Derby","64"
"Asian","Derbyshire","77"
"Asian","Devon","63"
"Asian","Doncaster","61"
"Asian","Dorset","67"
"Asian","Dudley","63"
"Asian","Ealing","65"
"Asian","East Riding of Yorkshire","88"
"Asian","East Sussex","76"
"Asian","Enfield","81"
"Asian","Essex","78"
"Asian","Gateshead","68"
"Asian","Gloucestershire","65"
"Asian","Greenwich","86"
"Asian","Hackney","80"
"Asian","Halton","100"
"Asian","Hammersmith and Fulham","73"
"Asian","Hampshire","77"
"Asian","Haringey","82"
"Asian","Harrow","80"
"Asian","Hartlepool","64"
"Asian","Havering","78"
"Asian","Herefordshire, County of","60"
"Asian","Hertfordshire","76"
"Asian","Hillingdon","74"
"Asian","Hounslow","82"
"Asian","Isle of Wight","!"
"Asian","Isles of Scilly","!"
"Asian","Islington","71"
"Asian","Kensington and Chelsea","81"
"Asian","Kent","80"
"Asian","Kingston upon Hull, City of","76"
"Asian","Kingston upon Thames","70"
"Asian","Kirklees","64"
"Asian","Knowsley","89"
"Asian","Lambeth","73"
"Asian","Lancashire","67"
"Asian","Leeds","56"
"Asian","Leicester","66"
"Asian","Leicestershire","75"
"Asian","Lewisham","76"
"Asian","Lincolnshire","86"
"Asian","Liverpool","60"
"Asian","Luton","64"
"Asian","Manchester","63"
"Asian","Medway","76"
"Asian","Merton","71"
"Asian","Middlesbrough","58"
"Asian","Milton Keynes","72"
"Asian","Newcastle upon Tyne","68"
"Asian","Newham","79"
"Asian","Norfolk","80"
"Asian","North East Lincolnshire","77"
"Asian","North Lincolnshire","84"
"Asian","North Somerset","83"
"Asian","North Tyneside","79"
"Asian","North Yorkshire","75"
"Asian","Northamptonshire","74"
"Asian","Northumberland","81"
"Asian","Nottingham","64"
"Asian","Nottinghamshire","60"
"Asian","Oldham","56"
"Asian","Oxfordshire","57"
"Asian","Peterborough","63"
"Asian","Plymouth","80"
"Asian","Poole","79"
"Asian","Portsmouth","63"
"Asian","Reading","70"
"Asian","Redbridge","74"
"Asian","Redcar and Cleveland","53"
"Asian","Richmond upon Thames","72"
"Asian","Rochdale","56"
"Asian","Rotherham","70"
"Asian","Rutland","!"
"Asian","Salford","73"
"Asian","Sandwell","66"
"Asian","Sefton","71"
"Asian","Sheffield","65"
"Asian","Shropshire","80"
"Asian","Slough","76"
"Asian","Solihull","74"
"Asian","Somerset","66"
"Asian","South Gloucestershire","75"
"Asian","South Tyneside","75"
"Asian","Southampton","73"
"Asian","Southend-on-Sea","75"
"Asian","Southwark","77"
"Asian","St. Helens","42"
"Asian","Staffordshire","73"
"Asian","Stockport","74"
"Asian","Stockton-on-Tees","76"
"Asian","Stoke-on-Trent","63"
"Asian","Suffolk","69"
"Asian","Sunderland","72"
"Asian","Surrey","75"
"Asian","Sutton","80"
"Asian","Swindon","71"
"Asian","Tameside","62"
"Asian","Telford and Wrekin","69"
"Asian","Thurrock","76"
"Asian","Torbay","82"
"Asian","Tower Hamlets","72"
"Asian","Trafford","69"
"Asian","Wakefield","58"
"Asian","Walsall","68"
"Asian","Waltham Forest","77"
"Asian","Wandsworth","80"
"Asian","Warrington","73"
"Asian","Warwickshire","79"
"Asian","West Berkshire","83"
"Asian","West Sussex","64"
"Asian","Westminster","74"
"Asian","Wigan","72"
"Asian","Wiltshire","74"
"Asian","Windsor and Maidenhead","73"
"Asian","Wirral","77"
"Asian","Wokingham","79"
"Asian","Wolverhampton","66"
"Asian","Worcestershire","53"
"Asian","York","57"
"Black","Barking and Dagenham","75"
"Black","Barnet","66"
"Black","Barnsley","72"
"Black","Bath and North East Somerset","60"
"Black","Bedford","70"
"Black","Bexley","83"
"Black","Birmingham","65"
"Black","Blackburn with Darwen","65"
"Black","Blackpool","!"
"Black","Bolton","56"
"Black","Bournemouth","79"
"Black","Bracknell Forest","71"
"Black","Bradford","61"
"Black","Brent","68"
"Black","Brighton and Hove","64"
"Black","Bristol, City of","57"
"Black","Bromley","75"
"Black","Buckinghamshire","64"
"Black","Bury","59"
"Black","Calderdale","44"
"Black","Cambridgeshire","64"
"Black","Camden","64"
"Black","Central Bedfordshire","74"
"Black","Cheshire East","55"
"Black","Cheshire West and Chester","38"
"Black","City of London","!"
"Black","Cornwall","!"
"Black","County Durham","67"
"Black","Coventry","64"
"Black","Croydon","68"
"Black","Cumbria","100"
"Black","Darlington","!"
"Black","Derby","63"
"Black","Derbyshire","67"
"Black","Devon","57"
"Black","Doncaster","68"
"Black","Dorset","50"
"Black","Dudley","78"
"Black","Ealing","57"
"Black","East Riding of Yorkshire","!"
"Black","East Sussex","75"
"Black","Enfield","66"
"Black","Essex","73"
"Black","Gateshead","69"
"Black","Gloucestershire","60"
"Black","Greenwich","81"
"Black","Hackney","77"
"Black","Halton","!"
"Black","Hammersmith and Fulham","68"
"Black","Hampshire","73"
"Black","Haringey","77"
"Black","Harrow","63"
"Black","Hartlepool","56"
"Black","Havering","74"
"Black","Herefordshire, County of","100"
"Black","Hertfordshire","74"
"Black","Hillingdon","68"
"Black","Hounslow","67"
"Black","Isle of Wight","!"
"Black","Isles of Scilly","!"
"Black","Islington","65"
"Black","Kensington and Chelsea","75"
"Black","Kent","80"
"Black","Kingston upon Hull, City of","52"
"Black","Kingston upon Thames","60"
"Black","Kirklees","66"
"Black","Knowsley","50"
"Black","Lambeth","70"
"Black","Lancashire","73"
"Black","Leeds","52"
"Black","Leicester","62"
"Black","Leicestershire","71"
"Black","Lewisham","71"
"Black","Lincolnshire","70"
"Black","Liverpool","55"
"Black","Luton","66"
"Black","Manchester","67"
"Black","Medway","84"
"Black","Merton","64"
"Black","Middlesbrough","76"
"Black","Milton Keynes","69"
"Black","Newcastle upon Tyne","68"
"Black","Newham","77"
"Black","Norfolk","72"
"Black","North East Lincolnshire","!"
"Black","North Lincolnshire","50"
"Black","North Somerset","!"
"Black","North Tyneside","78"
"Black","North Yorkshire","50"
"Black","Northamptonshire","64"
"Black","Northumberland","!"
"Black","Nottingham","66"
"Black","Nottinghamshire","62"
"Black","Oldham","50"
"Black","Oxfordshire","61"
"Black","Peterborough","66"
"Black","Plymouth","71"
"Black","Poole","62"
"Black","Portsmouth","62"
"Black","Reading","68"
"Black","Redbridge","63"
"Black","Redcar and Cleveland","!"
"Black","Richmond upon Thames","62"
"Black","Rochdale","58"
"Black","Rotherham","60"
"Black","Rutland","!"
"Black","Salford","69"
"Black","Sandwell","63"
"Black","Sefton","63"
"Black","Sheffield","65"
"Black","Shropshire","!"
"Black","Slough","72"
"Black","Solihull","71"
"Black","Somerset","43"
"Black","South Gloucestershire","63"
"Black","South Tyneside","75"
"Black","Southampton","71"
"Black","Southend-on-Sea","68"
"Black","Southwark","71"
"Black","St. Helens","!"
"Black","Staffordshire","59"
"Black","Stockport","70"
"Black","Stockton-on-Tees","72"
"Black","Stoke-on-Trent","67"
"Black","Suffolk","59"
"Black","Sunderland","84"
"Black","Surrey","78"
"Black","Sutton","71"
"Black","Swindon","69"
"Black","Tameside","71"
"Black","Telford and Wrekin","83"
"Black","Thurrock","78"
"Black","Torbay","!"
"Black","Tower Hamlets","69"
"Black","Trafford","70"
"Black","Wakefield","65"
"Black","Walsall","71"
"Black","Waltham Forest","73"
"Black","Wandsworth","71"
"Black","Warrington","75"
"Black","Warwickshire","66"
"Black","West Berkshire","85"
"Black","West Sussex","49"
"Black","Westminster","79"
"Black","Wigan","74"
"Black","Wiltshire","70"
"Black","Windsor and Maidenhead","67"
"Black","Wirral","33"
"Black","Wokingham","74"
"Black","Wolverhampton","72"
"Black","Worcestershire","56"
"Black","York","!"
"Chinese","Barking and Dagenham","69"
"Chinese","Barnet","82"
"Chinese","Barnsley","!"
"Chinese","Bath and North East Somerset","63"
"Chinese","Bedford","100"
"Chinese","Bexley","81"
"Chinese","Birmingham","82"
"Chinese","Blackburn with Darwen","!"
"Chinese","Blackpool","40"
"Chinese","Bolton","!"
"Chinese","Bournemouth","79"
"Chinese","Bracknell Forest","!"
"Chinese","Bradford","79"
"Chinese","Brent","!"
"Chinese","Brighton and Hove","82"
"Chinese","Bristol, City of","81"
"Chinese","Bromley","87"
"Chinese","Buckinghamshire","76"
"Chinese","Bury","!"
"Chinese","Calderdale","57"
"Chinese","Cambridgeshire","82"
"Chinese","Camden","65"
"Chinese","Central Bedfordshire","100"
"Chinese","Cheshire East","55"
"Chinese","Cheshire West and Chester","!"
"Chinese","City of London","!"
"Chinese","Cornwall","!"
"Chinese","County Durham","67"
"Chinese","Coventry","75"
"Chinese","Croydon","81"
"Chinese","Cumbria","69"
"Chinese","Darlington","!"
"Chinese","Derby","61"
"Chinese","Derbyshire","73"
"Chinese","Devon","75"
"Chinese","Doncaster","63"
"Chinese","Dorset","!"
"Chinese","Dudley","73"
"Chinese","Ealing","!"
"Chinese","East Riding of Yorkshire","100"
"Chinese","East Sussex","!"
"Chinese","Enfield","65"
"Chinese","Essex","82"
"Chinese","Gateshead","75"
"Chinese","Gloucestershire","77"
"Chinese","Greenwich","83"
"Chinese","Hackney","83"
