"Ethnicity","measure","Value","time","time_type","Ethnicity_type","Geography","Geography_type"
"All","Share of income made up by Wages and salaries by ethnic group of head ","63","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Share of income made up by Wages and salaries by ethnic group of head ","63","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Share of income made up by Wages and salaries by ethnic group of head ","71","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Share of income made up by Wages and salaries by ethnic group of head ","77","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Share of income made up by Wages and salaries by ethnic group of head ","56","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Share of income made up by Wages and salaries by ethnic group of head ","55","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Share of income made up by Wages and salaries by ethnic group of head ","64","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Share of income made up by Wages and salaries by ethnic group of head ","66","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Share of income made up by Wages and salaries by ethnic group of head ","66","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Share of income made up by Wages and salaries by ethnic group of head ","63","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Share of income made up by Self-employed income by ethnic group of head","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Share of income made up by Self-employed income by ethnic group of head","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Share of income made up by Self-employed income by ethnic group of head","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Share of income made up by Self-employed income by ethnic group of head","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Share of income made up by Self-employed income by ethnic group of head","16","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Share of income made up by Self-employed income by ethnic group of head","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Share of income made up by Self-employed income by ethnic group of head","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Share of income made up by Self-employed income by ethnic group of head","10","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Share of income made up by Self-employed income by ethnic group of head","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Share of income made up by Self-employed income by ethnic group of head","10","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Share of income made up by Investments by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Share of income made up by Investments by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Share of income made up by Investments by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Share of income made up by Investments by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Share of income made up by Investments by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Share of income made up by Investments by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Share of income made up by Investments by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Share of income made up by Investments by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Share of income made up by Investments by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Share of income made up by Investments by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Share of income made up by Tax Credits by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Share of income made up by Tax Credits by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Share of income made up by Tax Credits by ethnic group of head","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Share of income made up by Tax Credits by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Share of income made up by Tax Credits by ethnic group of head","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Share of income made up by Tax Credits by ethnic group of head","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Share of income made up by Tax Credits by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Share of income made up by Tax Credits by ethnic group of head","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Share of income made up by Tax Credits by ethnic group of head","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Share of income made up by Tax Credits by ethnic group of head","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Share of income made up by State Pension plus any IS/PC by ethnic group of head","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Share of income made up by State Pension plus any IS/PC by ethnic group of head","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Share of income made up by State Pension plus any IS/PC by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Share of income made up by State Pension plus any IS/PC by ethnic group of head","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Share of income made up by State Pension plus any IS/PC by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Share of income made up by State Pension plus any IS/PC by ethnic group of head","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Share of income made up by State Pension plus any IS/PC by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Share of income made up by State Pension plus any IS/PC by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Share of income made up by State Pension plus any IS/PC by ethnic group of head","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Share of income made up by State Pension plus any IS/PC by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Share of income made up by Private pensions by ethnic group of head","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Share of income made up by Private pensions by ethnic group of head","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Share of income made up by Private pensions by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Share of income made up by Private pensions by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Share of income made up by Private pensions by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Share of income made up by Private pensions by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Share of income made up by Private pensions by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Share of income made up by Private pensions by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Share of income made up by Private pensions by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Share of income made up by Private pensions by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Share of income made up by Disability benefits by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Share of income made up by Disability benefits by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Share of income made up by Disability benefits by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Share of income made up by Disability benefits by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Share of income made up by Disability benefits by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Share of income made up by Disability benefits by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Share of income made up by Disability benefits by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Share of income made up by Disability benefits by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Share of income made up by Disability benefits by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Share of income made up by Disability benefits by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Share of income made up by Other benefits by ethnic group of head","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Share of income made up by Other benefits by ethnic group of head","4","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Share of income made up by Other benefits by ethnic group of head","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Share of income made up by Other benefits by ethnic group of head","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Share of income made up by Other benefits by ethnic group of head","10","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Share of income made up by Other benefits by ethnic group of head","13","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Share of income made up by Other benefits by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Share of income made up by Other benefits by ethnic group of head","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Share of income made up by Other benefits by ethnic group of head","11","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
