"Title","Sources of household income"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","491","","","",""
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","491","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","68","2,454","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","2,454","","","",""
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,454","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","2,454","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","2,454","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,454","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,454","","","",""
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","2,454","","","",""
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","2,454","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","75","1,047","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","1,047","","","",""
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","1,047","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","1,047","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","1,047","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","1,047","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","1,047","","","",""
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","1,047","","","",""
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","1,047","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","57","570","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","570","","","",""
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","570","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","570","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","570","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","570","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","570","","","",""
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","570","","","",""
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","570","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","55","228","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","228","","","",""
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","228","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","228","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","228","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","228","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","228","","","",""
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","228","","","",""
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","228","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","65","213","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","213","","","",""
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","213","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","213","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","213","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","213","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","213","","","",""
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","213","","","",""
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","22","213","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","68","396","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","396","","","",""
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","396","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","396","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","396","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","396","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","396","","","",""
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","396","","","",""
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","396","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","65","1,355","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","1,355","","","",""
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","1,355","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,355","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","1,355","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","1,355","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","1,355","","","",""
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","1,355","","","",""
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,355","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","68","600","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","600","","","",""
"Share of income made up by Investments by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","600","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","600","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","600","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","600","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","600","","","",""
"Share of income made up by Other benefits by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","600","","","",""
"Share of income made up by Other sources by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","600","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","65","61,106","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","61,106","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","61,106","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","61,106","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","61,106","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","61,106","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","61,106","","","",""
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","61,106","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","61,106","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","64","56,608","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","56,608","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","56,608","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","56,608","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","56,608","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","56,608","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","56,608","","","",""
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","56,608","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","56,608","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","63","54,352","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","54,352","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","54,352","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","54,352","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","54,352","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","54,352","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","54,352","","","",""
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","54,352","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","54,352","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","77","2,256","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","2,256","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,256","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,256","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,256","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,256","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","2,256","","","",""
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","2,256","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","2,256","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","66","426","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","426","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","426","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","426","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","426","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","426","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","426","","","",""
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","426","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","426","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","69","2,226","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","2,226","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,226","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","2,226","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","2,226","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,226","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,226","","","",""
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","2,226","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","2,226","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","73","954","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","954","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","954","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","954","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","954","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","954","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","954","","","",""
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","954","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","954","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","59","514","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","514","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","514","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","514","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","514","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","514","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","514","","","",""
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","514","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","514","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","57","212","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","212","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","212","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","212","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","212","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","212","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","212","","","",""
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","16","212","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","212","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","76","187","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","187","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","187","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","187","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","187","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","187","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","187","","","",""
