"Title","EBacc achievement by ethnicity and area "
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","County Durham","Local Authority","E06000047","All pupils","All pupils","25","4979"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Darlington","Local Authority","E06000005","All pupils","All pupils","24","1139"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Gateshead","Local Authority","E08000037","All pupils","All pupils","25","1913"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Hartlepool","Local Authority","E06000001","All pupils","All pupils","14","1068"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","11","1464"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","24","2393"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","North Tyneside","Local Authority","E08000022","All pupils","All pupils","26","1945"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Northumberland","Local Authority","E06000057","All pupils","All pupils","19","3198"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","19","1620"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","South Tyneside","Local Authority","E08000023","All pupils","All pupils","21","1535"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","26","1994"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Sunderland","Local Authority","E08000024","All pupils","All pupils","21","2828"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","25","1754"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Blackpool","Local Authority","E06000009","All pupils","All pupils","9","1331"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Bolton","Local Authority","E08000001","All pupils","All pupils","20","3240"
