"Title","EBacc achievement by ethnicity"
"Location","England"
"Time period","2015 /16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","All pupils","24","422763"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - British","DFE","England","Country","E92000001","All pupils","All pupils","23","395316"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish","DFE","England","Country","E92000001","All pupils","All pupils","35","1774"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","All pupils","All pupils","3","122"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","All pupils","All pupils","1","1107"
"Percentage achieving the English Baccalaureate","2016","Academic year","White - Any other","DFE","England","Country","E92000001","All pupils","All pupils","28","24444"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","All pupils","27","22868"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","All pupils","All pupils","18","7160"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","All pupils","All pupils","26","2687"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","All pupils","All pupils","35","5089"
"Percentage achieving the English Baccalaureate","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","All pupils","All pupils","30","7932"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","All pupils","31","51218"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","All pupils","All pupils","41","14046"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","All pupils","All pupils","22","20434"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","All pupils","All pupils","29","8319"
"Percentage achieving the English Baccalaureate","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","All pupils","All pupils","38","8419"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","All pupils","23","27924"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","All pupils","All pupils","16","7216"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - African","DFE","England","Country","E92000001","All pupils","All pupils","26","17349"
"Percentage achieving the English Baccalaureate","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","All pupils","All pupils","20","3359"
"Percentage achieving the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","All pupils","52","2026"
"Percentage achieving the English Baccalaureate","2016","Academic year","Other","DFE","England","Country","E92000001","All pupils","All pupils","31","8119"
"Percentage achieving the English Baccalaureate","2016","Academic year","Unclassified","DFE","England","Country","E92000001","All pupils","All pupils","21","5771"
"Percentage achieving the English Baccalaureate","2016","Academic year","All - England","DFE","England","Country","E92000001","All pupils","All pupils","25","540689"
